symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
AVGO,2023-10-29,2023,Q4,22.506053268765132,8.532687651331718,11.690072639225182,11.435835351089588,34.355932203389834,58.082324455205814,-56.97820823244552,58.082324455205814,95.96610169491525,347436250000.0,372476250000.0,24.6478610953462,37.378832705755784,71.96276926263462,73.56261909803091,14.483752292813072,14.483752292813072,40.07275416890801,70.05383675004703,77.14918185584092,78.86433410967605,0.010142867936204123,0.013593860744237253,1.6353593463398366,0.5384087509092655,4.70942260673312,2.8152599594868333,10.469135802469136,1.3700340522133938,0.005480142040446269,0.5402951191827469,0.0,0.14932759548144164,0.6522007658418084,-0.021748135874067938,-0.011296395911780527,-0.11266094420600858,0.06863905325443787,105.59811780704466,0.059580709909380636,0.13906317824868789,-75.95520581113801,13442000000.0,-23532000000.0,-28026000000.0,1.6353593463398366,3034000000.0,1101000000.0,1870000000.0,30.538999462076386,37.70775623268698,59.14819944598338,2.9470513633481294,2.386776859504132,1.5216016859852477,0.1469067867266967,-0.2542372881355932
AVGO,2023-07-30,2023,Q3,21.491525423728813,7.9975786924939465,11.426150121065374,11.130750605326876,29.188861985472155,53.460048426150124,-63.42372881355932,53.460048426150124,96.23970944309927,371142450000.0,398428450000.0,28.09131471389646,41.81415615141956,78.64853782581056,80.73579508375028,16.809749082838895,16.809749082838895,44.88828864353312,77.7573087431694,84.43069506251324,86.6714052643028,0.008899547869019024,0.01238607979227383,1.7818288871778614,0.5494936797262379,5.325136612021858,2.4959836623553437,9.497536945812808,1.4287011807447774,0.00512202255495161,0.5755373902512867,0.0,0.1529968454258675,0.6742509951812278,-0.025852934943844035,-0.013744930148715638,-0.13090128755364808,0.07086525461919783,98.0810697552547,0.05797327534716731,0.14162593259583225,-83.18280871670702,10988000000.0,-26194000000.0,-31183000000.0,1.7818288871778614,2972500000.0,911500000.0,1864000000.0,29.54709328526363,32.92035398230089,61.1283185840708,3.0459849004804394,2.7338709677419355,1.4723127035830619,0.14959916662892342,-0.29539951573849876
AVGO,2023-04-30,2023,Q2,21.043373493975903,8.387951807228916,10.848192771084337,10.55421686746988,27.83855421686747,53.028915662650604,-65.15903614457831,53.028915662650604,95.70120481927711,264749250000.00003,292507250000.0,19.013878914105142,30.31595671590519,58.8070302087961,60.44503424657535,12.030229018039716,12.030229018039716,33.49447497996107,57.70511935292957,64.9727343402932,66.78247716894977,0.013148290316214305,0.016543956215173412,1.7862952696869179,0.5485230301254412,5.476030775300848,2.3793103448275863,9.896296296296295,1.2933065211146222,0.007229482236493587,0.5498419994254524,0.0,0.15023474178403756,0.6843875144766769,-0.027099067081297203,-0.013969998854918127,-0.1299254526091587,0.05874270010305737,100.04044058168775,0.06117865255706927,0.15389716609929704,-84.07409638554216,10360000000.0,-27041000000.0,-31789000000.0,1.7862952696869179,3132500000.0,877000000.0,1892500000.0,31.23668842322226,28.56760886172651,64.8357524828113,2.881227317716925,3.150421179302046,1.3881230116648993,0.1581769436997319,-0.29397590361445786
AVGO,2023-01-29,2023,Q1,21.327751196172247,9.028708133971293,9.655502392344498,9.409090909090908,30.25598086124402,55.76555023923445,-63.46650717703349,55.76555023923445,94.94736842105263,243046100000.00003,269681100000.00003,16.10003312135665,27.262602355580487,60.21954905847374,61.79661835748793,10.426688116688117,10.426688116688117,30.250263600673026,50.99869515885023,66.81890485629337,68.56880244088482,0.015527918366104208,0.01618211524480335,1.6851994851994851,0.5382865599649199,5.036875945537065,2.5171722571161297,10.105911330049262,1.0694223635400106,0.007924422568393404,0.5103338632750397,0.0,0.1340437464946719,0.6829505590879194,-0.025520317145688802,-0.01155356141334829,-0.0998062015503876,0.04385866517106001,106.43563657632775,0.06436828080355005,0.16311535635562086,-80.48803827751196,11353000000.0,-26529000000.0,-30830000000.0,1.6851994851994851,3096000000.0,960500000.0,1912000000.0,32.64834548513741,28.536585365853657,58.71178289247681,2.756648113790971,3.1538461538461537,1.5329120589784098,0.1619047619047619,-0.24641148325358853
AVGO,2022-10-30,2022,Q4,21.673175665777748,8.152317700038909,11.122974700588962,10.826879803475313,30.13372329969726,55.11490998814635,-67.99503801259009,55.11490998814635,96.88856055470477,193703574627.92,220802574627.92,14.416759052390594,21.69132974556775,42.265671967689286,43.42155898406636,8.529815255093576,8.529815255093576,24.725932209173575,42.00163108767739,48.17861109053459,49.4962059242143,0.017340929337273266,0.023030034466679384,1.7400590074419833,0.5394612895739191,5.15484116416207,2.6239364719228586,9.817733990147783,1.3643941649300386,0.009199623721054172,0.5305150342363799,0.0,0.13404255319148936,0.6925009215142869,-0.026620117826751038,-0.01366181410974244,-0.10032894736842106,0.043337066069428894,100.54636127294403,0.05938396676797753,0.14912981708399928,-84.80691794952652,11452000000.0,-28016000000.0,-32036000000.0,1.7400590074419833,2833000000.0,855000000.0,1881500000.0,29.811870100783874,29.90013315579228,57.673102529960055,3.0189317106152807,3.0100200400801604,1.5605194805194804,0.14791492359857325,-0.296094897113649
AVGO,2022-07-31,2022,Q3,20.846518959769835,7.571148308404121,10.89614837878329,10.61044466903219,24.5729820016096,51.483315904545,-76.0538349431395,51.483315904545,98.27468726533273,217774281104.73,247292281104.73,17.710985776246748,25.729475555851845,49.225651244287974,50.55113303266713,10.418326608847055,10.418326608847055,29.216951926362242,49.78705075593518,55.89789355893536,57.40303646813603,0.014115532763585063,0.01978195027505675,1.8894417069320193,0.5537251493144155,5.942822629353735,2.321844225604297,9.204433497536947,1.439167208848406,0.007971556563950447,0.564736499674691,0.0,0.1482750472589792,0.7259905223901523,-0.026220614828209764,-0.013705103969754254,-0.09531635168447,0.04406899810964083,93.6494845300226,0.05693899465512761,0.15728612361850183,-92.35126121402762,8859000000.0,-30879000000.0,-34862000000.0,1.8894417069320193,2895500000.0,890500000.0,1753000000.0,28.794896030245745,23.025512037369744,59.439453826805604,3.1255539143279174,3.908707865168539,1.5141458106637649,0.14706023058891068,-0.2857037097510989
AVGO,2022-05-01,2022,Q2,19.810643788762473,6.332169247549649,10.373511242221296,10.165698737958085,22.015901186943854,51.317464288056804,-77.87834718588668,51.317464288056804,97.75500200541511,235740145539.80002,266201145539.80002,22.7548403030695,29.09294650620758,55.55977976427057,56.695561697883605,11.23106934444021,11.23106934444021,32.85217148461064,57.995892274466236,62.7388983124676,64.02143952376143,0.010986673458054392,0.017638064956984615,1.8802286803239638,0.5502865349488978,6.636383442265795,2.143270622286541,6.552123552123552,1.6382239382239383,0.007423428012198912,0.6756756756756757,0.0,0.15562137479945698,0.7368200895160278,-0.020032995522036294,-0.010489941996791312,-0.06724683544303797,0.04763667777366407,85.50669305737922,0.05206223782941561,0.1372185430463576,-94.31692748635461,7900000000.0,-31854000000.0,-35919000000.0,1.8802286803239638,2811000000.0,1073500000.0,1594000000.0,34.2428730099963,36.11486486486486,56.351351351351354,2.628284138825819,2.4920486435921423,1.5971223021582734,0.12339209147212958,-0.2078125042632124
AVGO,2022-01-30,2022,Q1,18.703883495145632,6.0,8.46116504854369,8.216019417475728,24.803398058252426,55.810679611650485,-74.51456310679612,55.810679611650485,96.87378640776699,241382560000.0,270668560000.0,24.411666666666665,31.323976122501946,69.24341939185312,71.30947119645495,10.497632425850222,10.497632425850222,35.12439138333766,61.54355616189177,77.64445209409065,79.96116986706056,0.010241004983955759,0.01402338263377437,1.7180568844046273,0.5395089041844204,6.65893587994543,2.440114522029585,7.636363636363637,1.4101941747572815,0.007307901614764547,0.7135922330097088,0.0,0.15650142745912277,0.733284169124877,-0.028973034997131383,-0.01310667012717363,-0.07847707847707848,0.05022060731897223,86.80116213261672,0.04574975172062745,0.12657450076804916,-90.64745145631068,9054000000.0,-30700000000.0,-34889000000.0,1.7180568844046273,2305000000.0,1082000000.0,1408500000.0,29.653516740202438,36.514866390666164,51.48663906661648,3.0350531705395825,2.4647495361781075,1.7480263157894738,0.1075063059928677,-0.24514563106796117
AVGO,2021-10-31,2021,Q4,17.933210318499505,4.815600826717364,8.573173719158465,8.360115462370567,29.4480406512636,60.50128157809965,-72.23401240076046,60.50128157809965,97.24172529123993,218101850172.65,245668850172.65,27.413505552117897,29.445369268617522,61.593292903883075,63.16300323563568,8.727914289193244,8.727914289193244,33.167118964850815,59.48398309265133,69.37838186180457,71.14649585075297,0.009119592513431236,0.015832052764644573,1.589899555804554,0.5257377266110891,6.674818401937046,2.6406623149180066,5.947004608294931,1.7802916038210155,0.00715720659299455,0.7848164906988436,0.0,0.16200891049007696,0.7254730713245997,-0.024851736797514828,-0.011880653435938977,-0.05862758161225849,0.05589307411907655,80.9652733316051,0.03657054541372248,0.09587390340306565,-87.68376241357603,10305000000.0,-29835000000.0,-33995000000.0,1.589899555804554,2152500000.0,1027000000.0,1228500000.0,25.164034021871203,35.29794149512459,42.15601300108342,3.576533075808788,2.5497237569060776,2.1349267540478025,0.07959502180959623,-0.21305825678789744
AVGO,2021-08-01,2021,Q3,16.45025584128125,4.553065794960701,8.594033038355992,8.314927192716077,26.95191665940223,59.13888818006791,-77.2006769040005,59.13888818006791,99.19664454777919,199702732388.88,229054732388.88,26.61283747186567,29.46337155339038,56.39726980764756,58.29034804112084,8.195622456144786,8.195622456144786,33.7938525212275,62.41273362094823,64.68645365401864,66.85777361029773,0.009393962604111374,0.017155498870834524,1.6603192842779169,0.5331707959936742,7.997820163487739,2.4051684356252885,5.12289156626506,1.8875266524520256,0.007791580923239498,0.8294243070362474,0.0,0.17778105635880792,0.740326831839747,-0.03247670149675233,-0.016966656830923577,-0.07651363938789088,0.062112717615815875,77.83587284026011,0.03561484628320535,0.0952090946000812,-92.59639805023355,9135000000.0,-31809000000.0,-35877000000.0,1.6603192842779169,2329500000.0,899000000.0,1082000000.0,29.66361758630865,33.75435877566835,40.449438202247194,3.03401969561325,2.666322314049587,2.225,0.07698937087043953,-0.27910584563991503
