symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
BG,2023-09-30,2023,Q3,95.35784319232134,2.500068567564199,9.303204213885008,7.533718686172009,15.3824594170505,74.68703498221949,68.72842651957988,74.68703498221949,39.28391923456775,16150457041.0,19971457041.0,10.824703110589812,1.1351976552330076,11.635775966138329,14.368734022241993,1.4493814090460377,1.4493814090460377,1.4037714937091446,33.39708535284281,14.388657810518731,17.76820021441281,0.023095321640315924,0.06959555368288231,0.5379161805617877,0.2384912266740938,6.389632107023411,2.0162522741055184,-4.496240601503759,3.5681233933161955,0.006129857486303691,0.26541554959785524,0.0,0,0.035371821907452354,-0.19020172910662825,-0.018556266254305193,15.529411764705882,0.0011949110845575314,64.81713463800548,0.04086750320961301,0.015385249958752682,-40.47865709560882,8379000000,10254000000,2634000000,0.5379161805617877,2554000000.0,4111500000.0,8177000000.0,15.871933647290362,27.13928083750569,51.533909877105145,5.670386608210443,3.3162264150943397,1.746422893481717,0.03347392982141255,-1.7694855277129986
BG,2023-06-30,2023,Q2,99.91522509514587,4.129661107660358,-3.047450881697917,-5.490723048287968,9.31497513512457,75.40947083730924,69.89882980940233,75.40947083730924,39.68325472746939,14210778674.099998,18728778674.1,5.711727762901928,0.9443005298757392,-30.96030212222222,-17.18352923107618,1.251169103195985,1.251169103195985,1.244519813549073,16.603527193351063,-40.80343937712418,-22.646648940870616,0.043769593085960345,-0.058195262832940846,0.5148793801725656,0.22744243932794025,4.00531914893617,2.074538656374382,7.922480620155039,-0.7297297297297297,0.006614697347395936,0.15112540192926044,0.0,0,0.03228064716863721,0.8017429193899782,-0.024453452056615057,21.647058823529413,0.0011296431656588478,83.70692966825918,0.04293361945149332,0.024997990515231893,-43.81125600349483,8909000000,10528000000,2846000000,0.5148793801725656,2694000000.0,4862000000.0,8879000000.0,15.543225463485946,27.93919906460099,57.91727565039462,5.790303963062716,3.221280602636535,1.5539404951169657,0.05476316252861419,-2.443272166590051
BG,2023-03-31,2023,Q1,102.22650297185476,4.214975853223657,6.209086264796241,5.055303317632171,21.0015173446223,71.48785786503856,65.92569036252507,71.48785786503856,44.88415742435951,14322416569.439999,17888416569.44,5.665512883481012,0.9343956530167014,15.383906089624059,18.895008666807385,1.3361709645899804,1.3361709645899804,1.1670417908037578,17.764068092790467,19.214196100365196,23.599494154934035,0.04412663162922589,0.052924029707204466,0.6174083403302547,0.24411656215418664,3.541211519364449,1.8293620292083013,8.080357142857142,1.4127465857359636,0.006563138248650686,0.14873417721518986,0.0,0,0.030763555883437845,-0.1858216970998926,-0.011286534446764092,-1.696078431372549,0.0011090814196242171,82.3388783063384,0.038843301395674185,0.024052367179174913,-44.51234586768669,8632000000,9885000000,2649000000,0.6174083403302547,2809000000.0,4931000000.0,8680000000.0,16.375913361169104,34.83706792959638,56.95059023114441,5.495876658300466,2.58345507669832,1.5803172475424485,0.05896072394812949,-1.1537829471640706
BG,2022-12-31,2022,Q4,111.1348797740736,2.241375726535938,-3.455454245076238,-4.802947985434153,8.158340814147179,66.41409742080893,60.87736571537789,66.41409742080893,38.15675343983799,14956314375.64,19475314375.64,11.128210100922619,0.8977379577214886,-28.873193775366794,-20.772658855055553,1.5022412992808356,1.5022412992808356,1.1689864571212485,42.063313986263495,-37.59713199930502,-27.049047743944442,0.022465427749182504,-0.04814020231967679,0.5647850542386501,0.2287632221318145,9.760259179265658,1.745625,3.711340206185567,-1.3850267379679144,0.0062181094662915855,0.2767857142857143,0.0,0,0.03376729048006509,0.38996138996138996,-0.012124849939975991,-1.9611650485436893,0.0010804321728691477,57.87336418269522,0.016108625544446777,0.014147368421052632,-47.19730240825415,7158000000,9126000000,2134000000,0.5647850542386501,2840500000.0,4420500000.0,8260000000.0,15.282713085234095,24.91730842065396,47.76669612422674,5.889006716154118,3.6119471044231646,1.8841579448144625,0.03374849337083166,-1.3474937403579152
BG,2022-09-30,2022,Q3,111.31051154130733,2.5238972722535227,-3.812413248088216,-4.748911972792812,6.947359333624171,57.81717303938662,56.97366000365978,57.81717303938662,41.43176627451967,12431805503.71,17610805503.71,8.178819410335526,0.7417987650641445,-21.65819774165505,-17.38714056462937,1.4281224013452039,1.4281224013452039,1.050826750027448,23.41862434003989,-30.680845825278745,-24.630497207986014,0.030566758777443657,-0.05751376980492688,0.7047673750717978,0.247458857696031,6.886968085106383,1.6272357338885208,6.320388349514563,-1.4986945169712793,0.0075612508554729055,0.24736842105263157,0.0,0,0.03206679574056147,0.2456445993031359,-0.008413389820395011,-1.396039603960396,0.0008950414702547885,57.30011884611716,0.03165937145736239,0.01583531274742676,-54.316926032866604,6628000000,8578000000,1776000000,0.7047673750717978,2884000000.0,4901000000.0,9296500000.0,15.31594963899994,25.26305840841787,46.00088211202823,5.876227208976157,3.562514029180696,1.956484220907298,0.043653072946582425,-0.9364987247045966
BG,2022-06-30,2022,Q2,118.13595624449188,1.3570516358872093,-11.864320370062448,-12.562609075907321,6.521753007419114,57.523179051296665,57.23991099137846,57.523179051296665,50.01328164881405,13766712707.13,20448712707.129997,16.707175615449028,0.7676748289260023,-7.643927100016657,-7.21904179713162,1.5765818491903343,1.5765818491903343,1.1402839852300226,36.19241187102654,-11.354088121671293,-10.72297467599895,0.014963630343888073,-0.1385225391543425,0.858909757214842,0.2735329516029031,11.826548672566371,1.5061445691168613,5.032608695652174,-8.004444444444445,0.005811118580150708,0.3883495145631068,0.0,0,0.03103687224187607,0.05885619100499723,-0.005910890536998829,-0.5196078431372549,0.0008922098923771817,41.90934615622615,0.023188167724073824,0.007753688647997591,-62.32885462595549,6631000000,8689000000,1853000000,0.858909757214842,2946000000.0,5591500000.0,10734500000.0,14.634472759716724,28.04207214031816,54.96707651069285,6.149862825788752,3.2094632504207965,1.6373437649079285,0.023591387998167658,-0.6982887058448748
BG,2022-03-31,2022,Q1,111.42539121398721,4.827498057633703,-18.636387850399878,-19.380159353465533,4.5608629904969575,60.210408186852916,57.523007378606245,60.210408186852916,52.81479342995477,15792296359.28,22822296359.28,5.738479781715116,0.9944771007103275,-5.945894713584337,-5.717703243765388,1.8403794848246124,1.8403794848246124,1.4371723148161208,22.708752596298506,-8.592732062981927,-8.262960303866763,0.04356554514604912,-0.17489540071713325,0.8642349376529542,0.25818131179501463,6.9950248756218905,1.5072150072150072,8.135135135135135,-3.8160919540229883,0.005192405090081436,0.11918604651162791,0.0,0,0.03178526667595043,0.039909638554216864,-0.006675062972292191,-1.0392156862745099,0.0010075566750629723,80.87012206529498,0.04616438271643025,0.024738412858221568,-78.84679603725279,7030000000,8198000000,1277000000,0.8642349376529542,2546500000.0,5025000000.0,9695000000.0,16.866498740554157,35.789043336058874,67.3834832379395,5.336021505376344,2.5147361206305687,1.3356388787768474,0.08017713553198928,-0.7437715030656578
BG,2021-12-31,2021,Q4,118.27098999560562,1.637631042917035,-8.875818466372849,-10.010108366228804,10.081001484969802,55.47386541483031,48.98714505002906,55.47386541483031,48.76737638193197,13169120171.039999,19087120171.04,14.252294557402598,0.7893736241107714,-10.51846659028754,-9.326572359093484,1.6829546544460063,1.6829546544460063,1.1441059863957321,39.032965584948876,-15.245303650990417,-13.5177904894051,0.017541035164064214,-0.10722052663055703,0.8715654952076677,0.28672328260321195,12.102249488752555,1.7680551070928856,6.0,-5.396551724137931,0.006302623024317446,0.3593073593073593,0.0,0,0.03846800639031363,0.12779552715654952,-0.009590601210813402,-0.5031446540880503,0.0008991188635137566,45.210936637758074,0.01789945548412744,0.010100126798128635,-62.03325122634107,7136000000,6910000000,466000000,0.8715654952076677,2274000000.0,4079000000.0,8208000000.0,11.420607804351736,23.712642240840317,47.27897961735651,7.8804912612187055,3.7954437588989083,1.903594382289931,0.02952076677316294,-1.1342898998559552
BG,2021-09-30,2021,Q3,99.81358679625686,4.617005892041916,-1.4565133441969902,-2.205981375676995,10.492552440720067,53.95462781343317,46.57307474866784,53.95462781343317,52.22236679727656,11501384499.32,17797384499.32,4.403286561761102,0.8147187433109018,-55.83196358893204,-36.86341185679487,1.5071923076031974,1.5071923076031974,1.26070585105334,18.953551117486686,-86.39507038504854,-57.04289903628205,0.05677577338959562,-0.027127168908964525,0.9604245839339536,0.3039943589530881,6.705005324813632,1.6942309662875294,9.385964912280702,-0.31741140215716485,0.007129576444022728,0.12557427258805512,0.0,0,0.04330333070637521,0.5145631067961165,-0.0075086774810512145,3.7857142857142856,0.001204221860168591,74.866205838448,0.02963046973018151,0.028311294168653803,-64.79186484410276,6775000000,6587000000,56000000,0.9604245839339536,2478500000.0,3789000000.0,8237000000.0,15.498335340369767,26.77932855526216,54.414183327046395,5.807075277663513,3.3608012170385395,1.6539805340653855,0.08557200891102083,-0.7494680314800047
BG,2021-06-30,2021,Q2,108.74205661390829,2.5576391718689364,-3.172320409307051,-3.7375445356869266,6.365836723353348,51.79572588113584,44.15813487342777,51.79572588113584,56.88274301855472,11061098966.25,18594098966.25,7.638880501553868,0.7186731834351244,-24.63496429008909,-20.90944984168242,1.5088117536829901,1.5088117536829901,1.2081150650542525,42.45228074486301,-41.412247140868594,-35.14952545604915,0.03272730866115082,-0.04782526597168172,1.0908470877097258,0.31879609328283837,17.198630136986303,1.7009010754771825,6.814814814814815,-1.2168021680216803,0.007142147470251145,0.21823204419889503,0.0,0,0.04309348216065378,0.17817371937639198,-0.005197842895198493,2.4242424242424243,0.0010395685790396986,54.59562704651373,0.02008963047696598,0.015080819863356108,-75.80008799833118,7234000000,6250000000,-199000000,1.0908470877097258,2571500000.0,3738000000.0,8538000000.0,14.770970047430318,22.20969713432025,51.704468287382866,6.0930324623911325,4.052283984589984,1.740661938534279,0.049379347974355475,-0.5652241263798755
