symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
COO,2023-10-31,2023,FY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2448400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6813981965935656,3.4758659852356617,0.0,0.0,,0.0,0.3402463249900675,0.22036384221496025,3.4758659852356617,1.7594427244582043,5.062678062678063,0.0,,,0.0,0.03823889569186241,0.4575731844342091,0.0,,0.0,,0.0,0.03753335380989817,0.04652045350326529,0.0,735900000,2216200000,-2403000000,0.3402463249900675,583750000.0,255350000.0,682150000.0,61.933791606367585,77.38484578644864,217.35125070832996,5.893390191897654,4.716685757922871,1.6793094072865689,0.03896172692358628,0.0
COO,2022-10-31,2022,FY,67.10750507099391,7.825557809330629,14.044624746450305,9.135902636916835,2.8032454361054766,145.5314401622718,34.07505070993915,145.5314401622718,57.21501014198783,13478127000.0,16103327000.0,34.935528771384135,4.073910953935437,19.46581022530329,29.92479351687389,1.8785631454973728,1.8785631454973728,4.867406299117398,22.613856199971913,23.25726025418833,35.753390319715805,0.02862415527023896,0.03341710610086995,0.38515896135030037,0.24045665358544416,3.6865608762814213,1.1979378222152788,8.858638743455497,1.7947122861586313,0.00022258285591165598,0.007776049766718507,0.0,0.03333937855156571,0.4781288340889117,-0.34950895436164064,-0.07314714061177609,-0.6992198786477897,0.01638254140974489,160.07640583940685,0.041372653194026277,0.06432680283451438,-69.91277890466532,253400000,1679900000,-2784000000,0.38515896135030037,536550000.0,205100000.0,607150000.0,61.53941482287511,77.69678302532513,196.3342744695414,5.931158121190391,4.697749196141479,1.8590742802608557,0.053772283161665296,-4.9087221095334685
COO,2021-10-31,2021,FY,59.40040650406504,59.85162601626016,15.012195121951219,10.654471544715447,1.9491869918699187,141.09756097560975,62.9369918699187,141.09756097560975,35.239837398373986,20759448000.0,22374248000.0,7.049766699494006,7.103318391787853,28.106482534524776,39.602151850438766,2.9904131374243734,2.9904131374243734,7.655859024807528,33.864458907219614,30.292780936907665,42.68265547500954,0.14184866572560118,0.025251153113512458,0.2464275424949582,0.17808290479065603,2.4440744664749507,2.001502526977189,21.896103896103895,0.25082351343090975,0.00014451251304947992,0.0010187795021564165,0.41443969204448244,0.031719418306244654,0.4003143802960588,-0.29027890603845113,-0.07336184773310522,-0.6931781441965729,0.014987168520102652,435.9021279538216,0.34108942564316447,0.5111705174718351,-38.394817073170735,733200000,3096500000,-1198900000,0.2464275424949582,475350000.0,168700000.0,578000000.0,64.3573994867408,60.94031240302059,221.10685838419366,5.671453522220066,5.989467162329616,1.650785519125683,0.42418611351195623,-4.357723577235772
COO,2020-10-31,2020,FY,49.509164969450104,4.855397148676171,9.910386965376782,3.5885947046843176,2.360488798370672,77.89816700610999,1.8024439918533606,77.89816700610999,42.09368635437882,15665355000.0,17579455000.0,65.7103817114094,6.444261384672344,32.19349568434032,88.9066685584563,4.095731802970089,4.095731802970089,7.231665226870707,39.90795686719637,36.127116728318946,99.76989216799092,0.015218295404093937,0.01124775021057614,0.5307467057101025,0.3012987012987013,4.345289443813848,1.2686180804460374,8.472826086956522,2.0411073825503356,0.00019150539518574585,0.012583892617449664,0.4082849973260932,0.03838084660002468,0.5545528756957329,-0.637895602137279,-0.12768933316878522,-1.081156391501219,0.015467522316837385,92.2501875569516,0.04578822102641388,0.07943489270958283,-44.5020366598778,269800000,88500000,-1638500000,0.5307467057101025,435350000.0,163050000.0,538650000.0,65.37537537537537,71.68842763084477,232.33567682178327,5.583141938447405,5.091477272727273,1.5710028050490883,0.0623300564735411,-6.321792260692464
COO,2019-10-31,2019,FY,53.71255060728745,9.447368421052632,14.437246963562753,8.524291497975709,1.8016194331983806,73.45141700404858,-4.163967611336032,73.45141700404858,38.34615384615385,14375400000.0,16112700000.0,30.802228412256266,5.417728197783975,20.15619742007852,34.1377345048682,3.961802397684994,3.961802397684994,6.072473053440868,23.970098185063968,22.5921200224341,38.263357872239375,0.03246518357750045,0.029293097931188002,0.5033209315143999,0.2910670172922145,2.584498661112764,1.0475418692598595,8.03970588235294,1.5281765588172274,0.00020868984515213487,0.0064281122776944505,0.37559357805080273,0.0326750584156177,0.6110765798071559,-0.409562535053281,-0.11008517373935328,-1.0402421652421652,0.013228310846461144,124.95302494708314,0.09797733632645532,0.1912469778305946,-40.02176113360324,52800000,-205700000,-1482600000,0.5033209315143999,405000000.0,148250000.0,487850000.0,59.879588452551445,61.10472897613205,206.35567700200758,6.095566276131404,5.9733510992671555,1.7687906884987177,0.12862064213862479,-5.912955465587045
COO,2018-10-31,2018,FY,51.58452138492871,2.84928716904277,13.623217922606925,9.680244399185336,1.5824847250509164,67.36863543788188,-12.334012219959266,67.36863543788188,42.88187372708757,12683021000.0,14628121000.0,90.65776268763402,5.007509870499052,18.961012109433398,26.68424363559857,3.834276860753371,3.834276860753371,5.775474178774479,24.975449889021682,21.868920615936613,30.77660635388176,0.011030495021651387,0.0374752986689843,0.6115242759538062,0.3309121842690747,3.320983438620454,2.0333643988816403,4.874244256348247,4.781272337383846,0.0002286521484116442,0.020729092208720514,0.38427826910928614,0.033480732785849655,0.6401976181128125,-0.2894304081327553,-0.0764371446620341,-0.7037440930570702,0.017056222362602652,65.7185912992224,0.031874777748875,0.06360825679730836,-45.04837067209776,554400000,-605600000,-1714100000,0.6115242759538062,345650000.0,144250000.0,461450000.0,53.99774952621604,59.340366463076066,190.01887840088838,6.7595409661062185,6.150956284153006,1.9208617747440273,0.04229397182417317,-3.9429735234215886
COO,2017-10-31,2017,FY,43.74233128834356,7.625766871165644,12.139059304703476,9.537832310838446,1.8159509202453987,64.94134969325154,6.468302658486707,64.94134969325154,24.664621676891617,11748714000.0,12832614000.0,31.506339501206757,5.492619915848527,19.792307951482478,25.19021012006861,3.6996459287474113,3.6996459287474113,5.999352033660589,25.882642194433238,21.618285040431267,27.514180960548885,0.03173964401550672,0.03969796183650398,0.3692808234707296,0.2413608578426328,2.1861637757160146,2.4064630143903054,12.847305389221557,1.5918476803432555,0.0002468355259988455,0.007776883883078573,0.37358578775128565,0.03235156615240767,0.5885319118282668,-0.21428571428571427,-0.059467040673211784,-0.6751592356687898,0.017391304347826087,105.55861330957586,0.09339679656195002,0.18652460984393757,-23.100204498977504,557100000,316300000,-729700000,0.3692808234707296,303985000.0,124743000.0,435898000.0,54.024777933613834,67.08031557165027,214.36433005690634,6.756159191408718,5.4412385643912735,1.7027086544813919,0.11742544476186158,-2.6012269938650308
COO,2016-10-31,2016,FY,40.552865979381444,5.6477731958762885,10.507979381443299,7.360762886597938,2.078701030927835,55.66736082474227,1.9422886597938145,55.66736082474227,28.040474226804125,8537940000.0,9770896000.0,31.169806912312854,4.341000216593943,16.75298300555101,23.915999294111714,3.1623557753030056,3.1623557753030056,4.967880033394109,25.53728179648888,19.17226574993574,27.36968657999927,0.03208232899270784,0.041813013443523846,0.49401433478019474,0.29798870309956527,3.2224623836618203,1.7419131147999367,12.374188621611301,1.8536703354259567,0.00034130012625996435,0.010638259034671086,0.3674968756577897,0.03325733902646615,0.5821898435136658,-0.2995072963697691,-0.07760774531806261,-0.7698437515761017,0.01518089661757543,84.10662362680448,0.0747189284887293,0.14647309960408195,-25.72557731958763,398003000,94201000,-841425000,0.49401433478019474,287144000.0,112149000.0,418694000.0,54.072245774130145,49.3815820141483,192.07801092304106,6.750228232144695,7.391419738140912,1.900269574044281,0.1014557383752607,-3.147216494845361
COO,2015-10-31,2015,FY,37.052783505154636,4.196350515463918,8.061237113402061,3.0504536082474227,0.338680412371134,55.00018556701031,1.3554020618556701,55.00018556701031,28.20742268041237,7389460000.000001,8722991000.0,36.307739174442204,4.111971776123224,18.9003248331074,49.94667009131649,2.7701724717704796,2.7701724717704796,4.854034367244277,30.601939329303587,22.311151750773718,58.960242519280555,0.02754233732911471,0.020021354740400513,0.5060740188692897,0.3026395492993111,4.678284633762152,1.4888313507433386,13.073578964812462,1.905832000935928,0.0003932628365266203,0.014278484495609832,0.3965048468053376,0.03872380443613457,0.5847108355135284,-0.6215898918075555,-0.13523365942149956,-1.2696927425379958,0.018295994568906994,72.06248180385917,0.05608343571904932,0.10986734814512511,-27.798876288659795,276396000,65737000,-944888000,0.5060740188692897,279599000.0,116632500.0,400583000.0,57.4633401221996,58.71353526014106,210.77050294579786,6.351875808538163,6.216624469686602,1.7317413722444077,0.07629702467733004,-5.010783505154639
COO,2014-10-31,2014,FY,35.74157841076965,5.6148644431035555,9.46345269553276,4.51006013191569,0.5247914109152951,53.47117205218368,-1.7911820394914795,53.47117205218368,28.928153804540063,7877197900.0,9234326900.0,29.190375237163526,4.585695632026527,17.31926023969764,36.340978879672264,3.0652030563318573,3.0652030563318573,5.37574567347547,27.14309997677898,20.303122093649616,42.60201192112863,0.03425786725505525,0.027517145405220808,0.5379053013411531,0.3100595737426935,3.9891037568083147,1.7902515253899978,38.47909604519774,1.673195280856715,0.0003661200387005638,0.010687181311514289,0.3976740855617962,0.038572549622302325,0.5998927852070501,-0.5234233976733806,-0.13858908262776987,-1.7225996917533157,0.021257137135458872,82.19033465350273,0.07108694198302605,0.15128034649352454,-30.1019745739789,349435000,-86086000,-1078283000,0.5379053013411531,252908500.0,112262500.0,360195500.0,58.70509309712093,67.81928790206418,222.35176603226415,6.217518459533807,5.381949756344916,1.6415430671552975,0.1050073194136064,-4.95339256361707
