symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
ES,2022-12-31,2022,FY,35.438070105792015,4.051159374263554,6.924474168380426,-3.0006017242276424,0.02334309823625836,44.619079335286834,32.02602717100878,44.619079335286834,68.10676636569767,29074323944.960003,51639745944.96001,20.69531021974197,2.365817318768077,12.107778578024423,-27.941062395270237,1.8790168073614968,1.8790168073614968,4.201996425596957,12.332233029951905,21.504975005116,-49.62692739667814,0.048320126124326734,-0.035789619802333514,1.4825690398818392,0.4309531681786331,5.388911921058036,0.6211240214593216,3.240805338255631,1.7001580295583243,0.02983911170702867,0.6175296734584927,0,0,0.08496253116141189,-1.4333327919583325,-0.2800681826910746,-2.09468224823478,0.0,63.77364294286097,0.04331411969961326,0.028842639200392015,-104.07012827290566,-2576085000.0,11106096000.0,-33378974000.0,1.4825690398818392,1596527000.0,1893067500.0,320950000.0,52.15730858038221,112.15732486631833,19.864517293799665,6.998060481542686,3.2543572204048905,18.374471153846155,0.09079432912143727,-9.925075892608069
ES,2021-12-31,2021,FY,28.67401546597304,3.548322870038905,5.70568161518619,-3.5249285869667544,0.1941228362839231,42.44474752643759,29.880680202138933,42.44474752643759,60.473858340816044,31294656807.48,51446919807.479996,25.640282277639088,3.172907544392044,15.945509430082545,-25.810451972387174,2.143492547419,2.143492547419,5.216108327919712,14.743028897344548,26.213655257046774,-42.43114922100158,0.03900113068849093,-0.03874399414120416,1.3848802768029576,0.41695487829946226,5.77498899579777,0.5592779524815894,3.422985777921262,1.5981486035539385,0.025977533641004427,0.666071295432219,0,0,0.09232978026296383,-1.6177927239376337,-0.32191550615248676,-2.378385180823882,0.006750524810442169,58.212305727607365,0.04471469039950543,0.02772987541143761,-94.36351976143611,-2576919000.0,10278145000.0,-30466610000.0,1.3848802768029576,1432949000.0,1521438500.0,266550000.0,53.17667038254258,119.39759144558843,19.09955909874533,6.863912264048525,3.0570130903045634,19.11038878504673,0.08359863297169477,-9.230610202152945
ES,2020-12-31,2020,FY,26.279457132417456,3.5567840405173774,4.965739384352048,-3.7198628633916084,0.3146033885221815,41.505506789982476,28.843286309710045,41.505506789982476,54.61920507554349,29312715076.97,47174625076.97,24.322533787408716,3.29192492691503,17.421373395593175,-23.256233677691,2.0843017394713406,2.0843017394713406,5.297882635606097,14.486817145578392,28.037210340460913,-37.42758395347121,0.04111413756233241,-0.04299922394395571,1.277663787406409,0.3897758284139484,5.485199376117612,0.6368535824531049,3.693428569306085,1.3874754058346515,0.025660673125123278,0.6241325890934617,0,0,0.09644309696583471,-1.7491055360483831,-0.33050919598447065,-2.539125273174187,0.0014473694554283654,57.63321779359881,0.04829804294790537,0.02893307446821536,-90.21868171579699,-1784869000.0,9773148000.0,-28750319000.0,1.277663787406409,1299669500.0,1259259500.0,250550000.0,58.573850319447736,111.96863336744185,21.696957000885387,6.231449665838553,3.2598415200996316,16.822635542168676,0.08569426843803343,-8.685602247743656
ES,2019-12-31,2019,FY,26.527825990638192,2.8282747491362334,6.2522601933495014,-2.8060574416925728,0.048012531644106946,39.2948410180068,26.00460388905364,39.2948410180068,50.10281906052456,27342866436.019997,42898089436.02,30.078407349208458,3.2068213968993025,13.606279548392521,-30.316556865880482,2.164915235590769,2.164915235590769,5.0311664072025115,14.094661675604634,21.346825444369635,-47.56349780912107,0.03324644115594491,-0.03298527614543991,1.232831543704613,0.37862774008748923,5.110847787302411,0.6696704509115498,2.982933137283218,2.19249224283526,0.02453137097273679,0.7378645689525253,0,0,0.10765672480356017,-1.4488068882157787,-0.34146475622385347,-2.6941816930055578,0.030686086973859054,50.00573616103862,0.04343760047659397,0.02477209840059238,-85.02180954938267,-1191024000.0,8358298000.0,-25923812000.0,1.232831543704613,1170364500.0,1133933500.0,236771000.0,50.10185750961418,95.15042106178744,19.52127428846678,7.285159036867229,3.8360313693512866,18.697549893842886,0.07197572698767711,-9.058317635042075
ES,2018-12-31,2018,FY,26.61937542127633,3.2548722278480886,5.621123375887684,-2.329748055339092,0.3405106794957282,36.19372859600513,22.734072568696543,36.19372859600513,47.674677531096165,20641768799.760002,35165425799.76,19.982351209835432,2.4433330598739307,11.570640893419089,-27.91718179609491,1.7969964002873906,1.7969964002873906,4.1624750405157265,12.124955279665354,19.71180462974319,-47.559857612609264,0.050044160944773805,-0.03582023455318407,1.273784112691967,0.3826162247390619,5.007722432395529,0.5573279272296167,3.408005132266116,1.71450785617562,0.031374685293807276,0.6269399806389158,0,0,0.1157719819662827,-1.414463070732935,-0.2986873773481479,-2.3539874770979408,0.00791115173514456,51.484309703653274,0.050938566799861904,0.03054948558274253,-80.3289389627927,-1820658000.0,7215121000.0,-24306645000.0,1.273784112691967,1148392000.0,1102514500.0,230552500.0,50.56391295614297,91.3682489894242,19.419265912741142,7.218586906369089,3.9948231911749605,18.795767133531058,0.08992917707316135,-7.950871431226776
ES,2017-12-31,2017,FY,24.422435363058526,3.112670002208524,6.316521441592825,-1.0811562772803749,0.12023839229540233,34.927077549528775,21.469148572332365,34.927077549528775,43.58814840049527,20054033108.46,33429475108.46,20.297686537658045,2.5869655937575464,10.002340779526907,-58.43743529744646,1.8089117221561644,1.8089117221561644,4.312394492182098,12.06855941393462,16.67360377372023,-97.41346182649465,0.04926669835720994,-0.01711231841216168,1.2099327256251486,0.3703330770688087,4.828742178598711,0.6929695782582832,4.548029069009259,2.013966640382114,0.030397975145599672,0.6170085708849024,0,0,0.12223133127294668,-1.171163240286214,-0.30290499734776477,-3.0345036585586493,0.0028965607630181403,49.45827026340138,0.04950520466001573,0.031075779917164467,-75.56145555931839,-1101946000.0,6814546000.0,-22491475000.0,1.2099327256251486,1111353000.0,984777500.0,275892000.0,53.038519846356124,103.88089920884856,21.355999001158846,6.881790839136255,3.51363920393278,17.091216382815617,0.08911910817028891,-7.3976777188732
ES,2016-12-31,2016,FY,24.04887351236508,2.96647714791158,6.847318644680132,0.6239096102511259,0.095233693870408,33.72179420770358,23.13205363208042,33.72179420770358,35.11000056729072,17543819441.399998,28265305441.399998,18.618043303951385,2.2965732665857583,8.065931040453286,88.5224383348891,1.6378132094579645,1.6378132094579645,3.7000691363374014,10.783160460544511,12.99523204107304,142.620811067437,0.05371133709780156,0.01129657088993529,1.0037345027425064,0.33543440457517265,4.090226590799411,0.6809400855547662,4.638503495352416,2.2899598977070417,0.03260435972398231,0.6070293812387112,0,0,0.10979883333235059,-0.9088826382081899,-0.2587817276027149,-2.7630481392546957,0.005224679410440641,47.44244900754934,0.054693769324947544,0.033024095096855756,-63.49457444034818,-1160933000.0,7347901000.0,-18708199000.0,1.0037345027425064,1189874000.0,849083500.0,332598500.0,52.37974512539322,84.41902171255606,31.373257657390994,6.968342421793331,4.323670099409737,11.634112210658888,0.087969137396429,-6.2234090344290065
ES,2015-12-31,2015,FY,25.06745189822421,2.768304135440217,4.487423571797191,-0.94572682208974,0.07546239165311516,32.62216155707411,22.021965987621844,32.62216155707411,33.30161299467741,16206394512.67,26377857512.67,18.448117512160138,2.037303201272636,11.380695221411141,-54.000794740232045,1.565500186449953,1.565500186449953,3.3159561499791255,10.704226286029769,18.523451142128824,-87.89279244776984,0.054206072751913394,-0.018518245977868417,0.9848530000584416,0.3333978737755724,4.127615048329165,0.8759096792751331,4.737028086568928,1.6072444368196983,0.033154197226282274,0.6116325264517891,0,0,0.11508716278831584,-1.2107505135092431,-0.21674123145607063,-2.589357158304498,0.01207028135244173,45.076950393439,0.05334605564089882,0.032463249200655055,-59.61401788656264,-371004000.0,6988382000.0,-17453740000.0,0.9848530000584416,1344448500.0,840938500.0,343070000.0,58.891587460041556,67.2481304036915,27.809860708112005,6.1978291933063545,5.427660186370977,13.124840999060854,0.08485961699984013,-5.4331503938869306
ES,2014-12-31,2014,FY,24.48894678957095,2.5923781565564785,5.173308735370429,0.10036479530054507,0.12242486912657177,31.55854250768721,20.918105983680203,31.55854250768721,32.17130265412865,16919638752.960001,26689360752.96,20.645136152162294,2.185475776475305,10.345410014692998,533.2547118711589,1.6958958097308612,1.6958958097308612,3.4474111573452153,11.74643153565935,16.319046999222856,841.1661493573702,0.04843755897900744,0.0018752764443300647,0.9831218680510764,0.32938522515382596,4.299817131539858,0.8590101203395503,4.509312190353101,1.9774419181080085,0.02853169663067104,0.5890407615923938,0,0,0.11818805677686277,-0.9805994962925099,-0.20715239343123923,-2.6091690162155476,0.012794864693944192,42.90411070769289,0.05269303234313737,0.031210605724438806,-58.13306699162984,-441916000.0,6612982000.0,-16953127000.0,0.9831218680510764,1197892000.0,805241000.0,326448500.0,66.25995303968453,71.2282342718445,28.685855847614558,5.508606379201529,5.124372430839259,12.724040793447424,0.08214505330609018,-5.072943940069884
ES,2013-12-31,2013,FY,23.155535451689857,2.4927961133227328,5.275860842919701,0.6557073690459521,0.13752754194062772,30.482654278514843,19.81436528329375,30.482654278514843,30.90459590664894,13366049694.93,22725864694.93,17.00500083959812,1.8306637774988892,8.03470774952075,64.64774074703026,1.3906269320476412,1.3906269320476412,3.112618781084599,10.459257710874315,13.661155341071055,109.9184757338744,0.058806230557271355,0.015468444657842698,0.9783230096192822,0.33829815916130707,4.307722435439265,0.637140220371462,4.479996602146506,2.095958240570299,0.0351953651779733,0.5984972144013985,0,0,0.12661748538983075,-0.8757155678345984,-0.19952695473239757,-2.385137292334191,0.026803524459801425,41.34862086524716,0.05230072491808451,0.03237776390773227,-54.202548511196014,-1188602000.0,6247695000.0,-15941392000.0,0.9783230096192822,999617500.0,753300500.0,285473000.0,49.51048416124245,67.76530288098371,27.684268648353903,7.372175937752746,5.386237270141772,13.184382966233887,0.08177752798514451,-4.620153473873748
