symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
EXPD,2023-09-30,2023,Q3,14.887939414951836,1.1648821541954737,1.2915111591513198,1.2371736041713404,11.145065568086798,16.925879849625083,16.88350702588053,16.925879849625083,3.542369424673179,16861958370.0,15742008370.0,24.601200985684525,7.699520854100067,88.75649210443206,92.65474110788134,6.7724692020981765,6.7724692020981765,7.188128393548679,63.19579111116464,82.86139788398779,86.50073010709556,0.010162105506372449,0.010792755859472567,0.20864413723300854,0.11346969641038321,-4.496003596963456,2.1066713855954697,134.95877576514678,1.112015124997805,0.0,0.0,0.0,0,0.0017314963933893403,-0.04207284977366039,-0.0036497700229360624,-0.5121419875696803,0.007250681620693324,21.06240124178421,0.04511142951174952,0.03749359436382788,5.159125826824112,1844871000.0,2483547000.0,1425269000.0,0.20864413723300854,1441302500.0,830987500.0,199745500.0,59.95817810128854,40.337332747364464,10.663461487549045,1.501046276755795,2.2311837166744835,8.440036108827,0.06882254657037971,-0.05433755497997947
EXPD,2023-06-30,2023,Q2,14.888503340313092,1.308206202014159,1.0532522351846312,0.9835809485824443,11.29116894339748,16.990274869544987,16.952019144481007,16.990274869544987,3.5044105427593313,18222191550.0,17050395550.0,23.14810918445122,8.135807692101626,115.00568995115056,123.15203967154395,7.129372592854582,7.129372592854582,7.612626554189928,60.44439085520625,107.61013562980447,115.23262629675936,0.010800018178933038,0.008120044155720665,0.20610524849643888,0.11542208219034014,-4.154067582705861,2.205389501788036,629.1063291139241,0.8092526290521111,0.005612003348741003,0.5196290650406504,0.0,0,0.0017368384150883865,-0.06614871943753708,-0.004679535948622884,-0.6759318973300658,0.008302258464329979,22.362974233338043,0.050639483194989655,0.04319471444189378,5.63850832585502,1903439000.0,2550177000.0,1476610000.0,0.20610524849643888,1514044500.0,883210500.0,185696500.0,57.20543167279235,38.19833126198312,8.230791089238762,1.5732771761043312,2.356123867891906,10.934550400346,0.07699735360721646,-0.069671286602187
EXPD,2023-03-31,2023,Q1,16.81708440362212,1.4660426558729664,3.5443553618224746,3.4786720635167745,15.248657274071768,20.414422303520926,20.383753664928257,20.414422303520926,3.3942230352092575,16976539680.0,15146367680.0,18.778444058032573,6.548102950371232,31.069119419046437,31.655757711370427,5.394225629446655,5.394225629446655,5.842178486447331,47.557703620904036,27.71968346229585,28.243078655791873,0.013313137085660792,0.03158982985394819,0.16542549828115363,0.09763047022105822,-5.746511598698835,2.4186792920225266,104.33610586011342,2.4177736086160055,0.0,0.0,0.0,0,0.0014865233075865571,-0.018531803840325614,-0.0039057482693940306,-0.6635213944040365,0.0048168066747178205,25.94974590567773,0.04954025142925072,0.04244617017080935,9.533809774006901,2496955000.0,3142441000.0,2074802000.0,0.16542549828115363,1856056000.0,1029951500.0,226607500.0,55.698003038661355,38.17467592512053,7.855278001180278,1.615856854643941,2.3575838646681535,11.457264782542035,0.07181406527580819,-0.06568329830570042
EXPD,2022-12-31,2022,Q4,21.883066592907692,1.394273505903897,3.0946912614692024,2.978164800437467,12.934087455251829,19.77516866006651,19.747108457483673,19.77516866006651,3.438121943930463,16343394480.0,14827728480.0,18.633359875225743,4.748877382372016,33.580086418916004,34.89397228277463,5.2550752808421555,5.2550752808421555,4.308472422714562,41.39337682676605,30.46591112782233,31.657948857000722,0.013416796631099856,0.0286582448079048,0.16670787753523209,0.09274145799771538,-4.231162849126921,2.199559894939522,14.821577882670264,2.266488774640607,0.006361652723198541,0.4741558583702731,0.0,0,0.0014179578902103129,-0.03765366273610589,-0.005324960308328161,-1.2281195550194344,0.0038067393320641296,24.90722503800886,0.053178350163932624,0.03927912674359387,8.054595947071578,2463962000.0,3105608000.0,2041118000.0,0.16670787753523209,2427983500.0,1326876500.0,378740000.0,55.117392623276636,33.21825882578473,7.714361881635938,1.6328784021977136,2.7093533249894497,11.66655147644101,0.07050627632417916,-0.11652646103173543
EXPD,2022-09-30,2022,Q3,26.92200778872918,2.556388053990335,4.137432188065099,4.039128797931235,13.297212227440767,21.49109110097575,21.49902795178641,21.49109110097575,3.124459201747835,14308780990.0,12652664990.0,8.636208405659945,3.2802159739724437,21.34415646853147,21.863625652450278,4.109144555996531,4.109144555996531,2.900559722210123,23.33966351847411,18.873757413661423,19.33310259207647,0.02894788873276339,0.04573806814552411,0.1431338988794376,0.07543186360522834,-3.0549445684455185,2.064685819861432,67.2524569240587,1.6186516387307381,0.0,0.0,0.0,0,0.00119969259296142,-0.02375951693357837,-0.003651413776613621,-1.0487917297688814,0.003249547355819819,35.15878684695234,0.09109570873941639,0.06276275270664172,8.329434854254485,2881306000.0,3483466000.0,2471423000.0,0.1431338988794376,3109077500.0,1729868000.0,622756000.0,56.70350786058055,36.96066426408927,11.961706397101594,1.5872033917423067,2.435021171614694,7.524010121315771,0.11895105939382801,-0.09830339013386492
EXPD,2022-06-30,2022,Q2,27.88331354638626,2.288451287766821,3.3838465825115693,3.152714849901873,11.974965473796429,21.353233348678312,21.36588084219708,21.353233348678312,3.062807404356359,16089866319.999998,14615820319.999998,10.646938447082489,3.4952804241815456,28.80154215728744,30.913039916386158,4.5641799725863255,4.5641799725863255,3.175066195817272,28.094596144826575,26.162937387898594,28.080993836553386,0.0234809284605666,0.032348808228010194,0.14266372181474893,0.06832160009954977,-2.8334179103330026,1.8557685486003497,186.02279411764707,1.4615593915641532,0.006825911279541321,0.2907002289540901,0.0,0,0.001076870952903775,-0.06830443608295772,-0.008289249131929358,-2.6770029465413216,0.005543400056307285,33.15842687737594,0.08388762644773272,0.05137956662493889,6.821985620139074,2919083000.0,3527336000.0,2504270000.0,0.14266372181474893,3702344500.0,1947709000.0,781506000.0,67.83919273775055,42.925819584550226,16.712717887971724,1.3266667300702943,2.096640224253112,5.385120517397935,0.10717118341745034,-0.2311317326096964
EXPD,2022-03-31,2022,Q1,27.846721472964017,2.0663347243864143,2.471334157218849,2.3852918524886717,12.773962829628834,22.94576087021415,22.933892142639657,22.94576087021415,2.8158854679729433,17279196840.0,15609336840.0,12.481036927673074,3.704565368679274,41.74263512632082,43.24837645857424,4.495819536492764,4.495819536492764,3.346556510754673,32.88010540617397,37.70863069095969,39.068857318776374,0.020030387014214952,0.023122255258711435,0.12222692871297021,0.059045552201969005,-3.517457107649531,1.8707096668110346,244.05919661733614,1.1844626301934302,0.0,0.0,0.0,0,0.000996355828870136,-0.03481613543795568,-0.0030898540359127996,-1.110751445086705,0.002487619787586471,32.662004002063114,0.0716076184880899,0.043546316802100034,8.315413823366109,3240757000.0,3841404000.0,2856067000.0,0.12222692871297021,3872571000.0,1996450000.0,902350500.0,75.92504595546853,43.27300329161239,17.861124450527974,1.1853795920358967,2.0798186664673843,5.038876485592127,0.09005300526201855,-0.08604230473017749
EXPD,2021-12-31,2021,Q4,32.04612424506957,2.6891379095330565,1.811221369059284,1.7432434839928026,10.26581865041896,20.751610815176402,20.725707125593107,20.751610815176402,2.7903238258122367,22613495970.0,21352463970.0,12.484484295500318,4.190522353749567,74.14333901644933,77.03456300459888,6.4713048638030966,6.4713048638030966,3.956839654188031,33.55058399562557,70.00876720098886,72.7387633111906,0.020024855979842555,0.012981186119538331,0.1338302771327823,0.06145392420875412,-1.9814275343873444,1.780600150766297,282.0122116689281,0.6717832827838973,0.004306233769833157,0.2150444314889407,0.0,0,0.001041665434723504,-0.037531516703442985,-0.00212125137338379,-0.8875707528882686,0.002239850209669771,35.434287418498464,0.10211280271529576,0.05956746656999038,5.749060234095242,2908748000.0,3490064000.0,2523107000.0,0.1338302771327823,3570342000.0,1909719000.0,914477500.0,63.54780265079518,38.55285168917445,18.913121633544453,1.41625667994476,2.3344576615397763,4.7586010254581845,0.12958694789931163,-0.06797788506648139
EXPD,2021-09-30,2021,Q3,25.462386446033495,2.116734361828182,1.0456161242211126,0.9874316907677162,10.729669344997731,20.145596670459167,20.117931062941764,20.145596670459167,2.7027877830374987,20208379290.0,18844293290.0,14.07002245396415,4.678665931510043,113.9328260538645,120.64632026077456,5.9134510607317115,5.9134510607317115,4.362851258583355,37.50929216345867,106.24224529376279,112.5025718652426,0.017768272994444577,0.008288690428672175,0.13344226738901807,0.06444252664108203,-2.7151933756643247,1.8658441719417174,198.87774167343622,0.4928204273290545,0.0,0.0,0.0,0,0.0011202050539096033,-0.05564607517576154,-0.002285113124675726,-0.7739355445777464,0.0035200466005643094,30.975227618495037,0.08259271272207387,0.05079864683319808,6.3841233722212065,2836057000.0,3412665000.0,2455748000.0,0.13344226738901807,2988957000.0,1607774500.0,688190500.0,69.39516273732937,43.19944248820055,20.12227911503635,1.2969203680761279,2.0833602198589136,4.472654388972649,0.10507181278636889,-0.05818443345339645
EXPD,2021-06-30,2021,Q2,21.3290762957272,1.869700372318421,0.18007800957390224,0.14143372141126412,9.89374741445541,18.19900715087761,18.176963536434016,18.19900715087761,2.6755570001772946,21421986000.0,20198408000.0,16.9278460167145,5.935559432799321,703.0286501919858,895.11892027411,6.956423443896222,6.956423443896222,5.596532979338576,47.714277615042995,662.8731580847364,843.9916429884673,0.014768565342167621,0.0011171699953496375,0.14630613089203476,0.07568117898847522,-2.8904327695360483,2.0059592165863385,187.68053016453382,0.09613091294554127,0.004592804794102657,0.3109851693575917,0.0,0,0.0013315592648019013,-0.21459748613435725,-0.0018118125523504105,-0.5158974358974359,0.008564201587490263,27.66948743708461,0.0787038493043419,0.053214300371860264,6.250127061048401,2500036000.0,3075724000.0,2115742000.0,0.14630613089203476,2437277500.0,1351875000.0,461268500.0,66.0211415998424,40.400616980999786,15.336018815370984,1.3631996935995854,2.2276887514447257,5.868537400971026,0.10273639417896809,-0.038644288162638145
