symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
HCA,2022-12-31,2022,FY,217.15108932457946,20.34405719553404,30.72338391287278,14.878597208217082,4.647083063094698,-9.975546032259913,-0.26317848223887735,-9.975546032259913,149.8927637814494,66559696868.0,105487696868.0,11.795090708488393,1.1050370539073266,7.810337581318939,16.127864518536466,-24.054823588001447,-24.054823588001447,1.7513272934769977,8.741832838982349,12.378279379019009,25.56038208577659,0.0847810351539175,0.06200448911575713,-14.396819660281894,0.7596780960372249,3.2259882323692715,1.3778024641486568,5.2257323377369325,1.2470002926543753,0.009810741796120525,0.11571858940279993,0.45963176331911076,0,0.18408406117700904,-0.5157240084487209,-0.0729666461906264,-1.4802963960929605,0.005661348430262481,67.57380615543285,0.18666672190795733,0.13189201823068833,-156.8967363344573,3741000000,-9726000000,-38868000000,-14.396819660281894,8493000000.0,4175000000.0,2027000000.0,53.8776916308336,165.10884644114822,80.54850069362928,6.7746035316612305,2.2106628921915545,4.531431334622824,-2.039392844235634,-15.8447867046557
HCA,2021-12-31,2021,FY,181.71752006557074,21.514621963101,27.70981859796174,16.646304687379182,4.48788333359108,-2.8857306342112183,4.6054157709973245,-2.8857306342112183,117.22314151833352,83066089800.0,117949089800.0,11.941646032202417,1.4138427593954248,9.271803750418574,15.43405607580825,-89.03117877813504,-89.03117877813504,2.007575738698257,9.328463286934515,13.165430271235628,21.91547562244519,0.08374054944379962,0.06479178221772997,-38.943193997856376,0.716053762169406,2.7588579563429296,1.4132748904195367,6.252234993614304,1.160341924621163,0.00751209069191072,0.08970672800460035,0.45579724945533767,0,0.18800993260021284,-0.39926331063734793,-0.060883033769063184,-1.2537679635471433,0.007489106753812636,37.37541414959661,0.20691196715365134,0.1688267559827193,-126.00018557753275,3960000000,-8051000000,-35711000000,-38.943193997856376,7573000000.0,3823000000.0,2005500000.0,50.29062840413943,158.2654783250712,76.45712477586753,7.257813465101915,2.30625152031136,4.7739174219536755,-7.455519828510182,-11.063513910582559
HCA,2020-12-31,2020,FY,151.82414054803172,11.059861130097435,27.19889130342555,18.846545457973708,5.282453651109404,1.685199937777233,8.520276608482094,1.685199937777233,100.93817319612899,55821934176.0,86705934176.0,14.869987793287162,1.0832269453748085,6.046569993067592,8.726267652962326,97.59079401398601,97.59079401398601,1.682532244891623,8.638630484806217,9.391890616984401,13.554155725496326,0.06724955083362176,0.114596530815844,57.12762237762238,0.6880817014108234,3.077015044335957,1.4169347426470589,4.6186868686868685,2.1043993617506267,0.002740858092046918,0.04075652637187001,0.4632759590941727,0,0.18062750052642662,-0.3070840554592721,-0.05501329245337939,-1.0418963616317531,0.00702462499757437,20.47820155643467,0.1692553454829036,0.09647409539473684,-107.5471325674905,3629000000,-5686000000,-32265000000,57.12762237762238,7215500000.0,3220000000.0,1937000000.0,49.941105699260675,154.17313896522882,88.3170032261919,7.308608707984683,2.3674681753889675,4.132839506172839,6.562937062937063,-8.352345845451845
HCA,2019-12-31,2019,FY,151.68168828313915,10.356169499618256,22.461512278487294,10.175933739425183,1.8348591324573285,-8.29675433806792,-1.6693967952309028,-8.29675433806792,109.45629075987397,50025644136.0,84625644136.0,14.272651679315263,0.9744749130434782,6.580589862667719,14.525448355400696,-17.815400333333333,-17.815400333333333,1.6484658745519714,8.585334699807243,11.132023695869508,24.571905962833913,0.07006406535158823,0.06884469074775174,-12.543091168091168,0.7816813884326868,3.5101957999391296,1.443341498001805,3.980811403508772,1.8340168878166465,0.010994361182132246,0.15691868758915833,0.45893719806763283,0,0.18351901992986816,-0.5469613259668509,-0.08099579242636747,-1.6016949152542372,0.006759389122642979,43.96883407584058,0.16924072809977597,0.0952730435728071,-113.8809309383842,3439000000,-8834000000,-34427000000,-12.543091168091168,7084500000.0,2741000000.0,1790500000.0,52.471949509116406,125.02358212474944,79.57611130762882,6.95609756097561,2.919449225473322,4.586803677663602,-1.2482193732193732,-12.285578539062112
HCA,2018-12-31,2018,FY,136.12613999846016,11.04419076149214,19.717394702521354,9.297301332885382,1.464004162204662,-14.435897615364695,-8.509888735683672,-14.435897615364695,100.83547392906054,42673307640.0,74992307640.0,11.268367478214946,0.9142255851918504,6.3116857920425975,13.385604654956085,-8.62087023030303,-8.62087023030303,1.606622268783341,8.379965095541401,11.091895820144948,23.523308544542033,0.08874399969057566,0.07470712199988255,-6.63050505050505,0.8371209222842859,3.611464968152866,1.3493195930770248,3.7846153846153845,1.5404420141262247,0.011412286202616938,0.12859783469764985,0.45900550592368833,0,0.20284643048435227,-0.5284721195089483,-0.0765473359470403,-1.5684811237928007,0.005741585791717548,59.89355690926017,0.19605479885791943,0.12116849043322454,-104.01210049017892,2644000000,-10871000000,-31912000000,-6.63050505050505,6645000000.0,2591500000.0,1652500000.0,53.08792338839257,121.7769290523045,81.84619368203003,6.875386654882899,2.9972836631742337,4.459584295612009,-0.7650505050505051,-10.420093369635971
HCA,2017-12-31,2017,FY,124.57882451335594,6.329771979676176,15.498800885254031,6.886769062725298,2.0908813579074734,-19.4406263960632,-14.267694511950587,-19.4406263960632,99.25402380405585,30752046144.0,63078046144.0,13.877277140794225,0.7050957523730912,5.6675352274235165,12.754892635420987,-4.518372927416985,-4.518372927416985,1.4462797758517907,7.661611337786955,11.625146727607815,26.162607276648693,0.07206024567026612,0.07840128714395832,-4.85718483690861,0.9033968245292816,3.926393781124742,1.6201688860019487,3.6106508875739647,1.97812613926358,0.0,0.0,0.45992112624386666,0,0.20206050337496242,-0.5556579432362698,-0.06912917870408584,-1.4148287189113093,0.006190672719768881,52.61873692094825,0.1455332949621812,0.07589301003459023,-100.52726200800019,3819000000,-12389000000,-31611000000,-4.85718483690861,6163500000.0,2462000000.0,1538000000.0,54.4060393451644,130.01503553854565,78.47799343903773,6.708814028610983,2.807367613200307,4.650985378258105,-0.32559506317954745,-8.612031822528733
HCA,2016-12-31,2016,FY,111.97295592680763,7.79951416313507,15.256281510104689,7.807610544619293,1.7434208129360744,-19.706592532599405,-15.202305633543201,-19.706592532599405,89.284196214186,27427067318.0,58157067318.0,9.490334712110727,0.6610524781393107,4.851772035733239,9.480493369512617,-3.756103439879485,-3.756103439879485,1.4017128782357196,7.076790863713799,10.287823689722272,20.102684866228827,0.10537036156626683,0.1054797425644325,-4.296904957545878,0.9294389478049647,3.7393526405451447,1.557422008913267,3.662565905096661,1.6471445221445222,0.0,0.0,0.4554591467823572,0,0.19858996386041827,-0.48823633468954536,-0.06652205350686913,-1.4038657171922686,0.006049650518197156,58.80724079750443,0.18529893189692143,0.10682339025652399,-90.74424367517426,3252000000,-12337000000,-30305000000,-4.296904957545878,5857500000.0,2244000000.0,1471000000.0,51.2530730296457,122.03519399971152,79.12808308091735,7.1215242018537595,2.9909404659188956,4.612774451097804,-0.3957819775403999,-7.4486709654853955
HCA,2015-12-31,2015,FY,99.50877604807359,5.339336262068367,11.872436761217308,5.9161551161199055,1.8583598732703899,-19.057593356250596,-15.16281213737217,-19.057593356250596,80.63676788834393,26966698281.0,56713698281.0,12.666368379990605,0.6796385473310147,5.696387469581749,11.43141088639254,-3.5487167102250297,-3.5487167102250297,1.4293487141741015,7.165344065824384,11.980079907266582,24.041415125476895,0.07894922759231654,0.0874782658009745,-4.012106856165285,0.9311018812606889,3.758307012002527,1.6736765772298767,3.61021021021021,1.7559347181008902,0.0,0.0,0.45655022934623724,0,0.20556437820669435,-0.5016899028305872,-0.05985684762336811,-1.247373949579832,0.00602348908715157,47.848565638716856,0.17892612083457832,0.08184369353784646,-82.54215103775982,3716000000,-12777000000,-29558000000,-4.012106856165285,5791500000.0,2102500000.0,1359000000.0,54.17321941630122,119.32057848749622,79.1254896053028,6.737646459500764,3.058986175115207,4.612925642807506,-0.28016844321621265,-5.956281645097404
HCA,2014-12-31,2014,FY,87.80009603358464,4.459211768323614,10.578439437601833,5.403375540070002,1.3460873924646217,-18.773876106211528,-15.453844304302319,-18.773876106211528,74.64839412487552,30858873081.0,59937873081.0,16.4580656432,0.8358760789045994,6.937696286196044,13.582250475792254,-3.9091554447681784,-3.9091554447681784,1.6235406327807573,8.069180544022617,13.47524125022482,26.38110610959507,0.060760481922927025,0.07362550129540811,-3.755383835824677,0.950190711240745,3.9147819063004845,1.6295620437956204,3.2174411933448077,1.8744205646860514,0.00022683913251226088,0.0037333333333333333,0.4507557289127255,0,0.20564761691079841,-0.4892086330935252,-0.05894143778102823,-1.1956043956043956,0.0044151904220163605,43.400754700489124,0.17576099054627464,0.07565670015736593,-76.62947327314943,3450000000,-12914000000,-28767000000,-3.755383835824677,5451000000.0,1919000000.0,1229000000.0,56.295303104176824,118.61625678696902,74.55046311082721,6.483667017913593,3.077149877149877,4.896012509773261,-0.23752216873574866,-5.175063897531833
HCA,2013-12-31,2013,FY,77.75634434627528,3.5395492306712404,8.371170417011674,3.951283427812304,0.9417566719138133,-18.812385692577866,-15.759638219852413,-18.812385692577866,68.75278659884805,20973506840.0,48935506840.0,13.479117506426736,0.6135833725352525,5.699322510869565,12.074557766263673,-2.5360951438935913,-2.5360951438935913,1.4316162553390674,7.443794773349559,13.297692076086957,28.172427656879677,0.07418883317273613,0.08281876813691687,-3.431197097944377,0.9842183760535534,4.253422573775479,1.4112379280070237,2.6087662337662336,1.843687374749499,0.000762867179154099,0.010282776349614395,0.4577262886899538,0,0.20474489265027226,-0.5279891304347826,-0.05684278275115558,-1.1083856246434682,0.003305833479609151,38.70679164395093,0.1624573062159556,0.06786461967899511,-70.17565809228306,2342000000,-12831000000,-27722000000,-3.431197097944377,4940000000.0,1785500000.0,1132500000.0,55.61172546954537,110.23366834170854,72.08291457286431,6.563364055299539,3.3111480865224627,5.0636132315521625,-0.18814993954050785,-4.41988698919937
