symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
HLT,2023-09-30,2023,Q3,10.28076923076923,1.45,2.6423076923076922,2.4076923076923076,2.6846153846153844,-6.780769230769231,-49.11538461538461,-6.780769230769231,36.19230769230769,39046800000.0,47871800000.0,25.893103448275863,14.607856341189674,56.836681222707426,62.37507987220447,-22.147929665343167,-22.147929665343167,17.909390198279088,354.60592592592593,69.68238719068414,76.47252396166134,0.009655080569982686,0.016032043598963295,-5.401588201928531,0.6265131578947368,65.37037037037037,0.6975568660488627,-5.778761061946903,1.812664907651715,0.000998801438274071,0.10344827586206896,0.03591470258136925,0,0.7248026315789474,-0.08879184861717612,-0.022820800598578377,-1.525,0.017957351290684626,14.873553581906583,0.09818218649291126,0.09012670332297394,-58.034615384615385,-1077000000.0,-12770000000.0,-14469000000.0,-5.401588201928531,1399000000.0,1785000000.0,230500000.0,47.003367003367,108.4393063583815,13.757225433526012,1.914756446991404,0.829957356076759,6.542016806722689,-0.21384004537719795,-0.23461538461538461
HLT,2023-06-30,2023,Q2,10.075757575757576,1.5568181818181819,1.7575757575757576,1.5568181818181819,3.053030303030303,-5.420454545454546,-47.10227272727273,-5.420454545454546,36.67045454545455,38425200000.0,47189200000.0,23.372992700729927,14.445563909774435,82.81293103448276,93.49197080291971,-26.851991614255766,-26.851991614255766,17.740300751879698,65.35900277008311,101.70086206896552,114.81557177615572,0.010696105680647074,0.010696105680647076,-6.687631027253669,0.6256128652676995,12.138504155124654,0.7510917030567685,6.072072072072072,1.1234866828087167,0.001040983521230859,0.09732360097323602,0.04172932330827068,0,0.7198797149767928,-0.11422413793103449,-0.01992481203007519,-1.4324324324324325,0.019548872180451128,13.779328694710042,0.05458609307885629,0.09591598599766628,-55.875,-855000000.0,-12435000000.0,-14140000000.0,-6.687631027253669,1350000000.0,847000000.0,229000000.0,47.43609022556391,84.46537396121883,11.119113573407201,1.897289586305278,1.0655253837072018,8.094170403587444,-0.28721174004192873,-0.20075757575757575
HLT,2023-03-31,2023,Q1,8.6203007518797,0.7744360902255639,1.2406015037593985,1.0037593984962405,3.387218045112782,-5.338345864661654,-46.67669172932331,-5.338345864661654,36.421052631578945,37471420000.0,46142420000.0,45.47502427184466,16.34165721761884,113.54975757575758,140.3423970037453,-26.388323943661973,-26.388323943661973,20.123166157871783,101.41191208791209,139.82551515151516,172.81805243445692,0.005497523178998821,0.007125430528119831,-6.740845070422536,0.629281441062389,19.057142857142857,0.755457227138643,4.293103448275862,1.5789473684210527,0.001094167234655105,0.19902912621359223,0.0396860008722198,0,0.7233580961146538,-0.19090909090909092,-0.027474923680767552,-1.7027027027027026,0.01439162668992586,9.644670717202247,0.03771117016150129,0.04895437262357415,-55.00751879699248,-829000000.0,-12416000000.0,-14063000000.0,-6.740845070422536,1312500000.0,184000000.0,208500000.0,50.94635848233755,0.0,12.84933171324423,1.7665639445300463,0.0,7.004255319148936,-0.14507042253521127,-0.23684210526315788
HLT,2022-12-31,2022,Q4,9.051851851851852,1.2148148148148148,1.7851851851851852,1.637037037037037,4.477777777777778,-4.0814814814814815,-44.51111111111111,-4.0814814814814815,36.337037037037035,34117200000.0,42599200000.0,26.003963414634146,13.959574468085107,70.78257261410788,77.18823529411765,-30.95934664246824,-30.95934664246824,17.43011456628478,75.93440285204991,88.38008298755187,96.37828054298643,0.009613919078939655,0.01295534217344917,-8.794010889292196,0.6247421351211965,15.119429590017825,0.8511269276393831,4.2,1.4474474474474475,0.001201739884867457,0.125,0.03887070376432079,0,0.703971119133574,-0.08298755186721991,-0.016366612111292964,-1.0256410256410255,0.014729950900163666,10.562220118287655,0.042946950158026416,0.07142857142857142,-53.01759259259259,-502000000.0,-12018000000.0,-13740000000.0,-8.794010889292196,1302500000.0,184000000.0,200500000.0,48.86661211129296,18.596294216732172,9.197080291970803,1.8417483044461191,4.8396739130434785,9.785714285714286,-0.29764065335753176,-0.14814814814814814
HLT,2022-09-30,2022,Q3,8.673992673992673,1.271062271062271,2.457875457875458,2.3626373626373627,4.695970695970696,-3.3443223443223444,-43.040293040293044,-3.3443223443223444,35.24908424908425,32929260000.0,41164260000.0,23.724250720461097,13.9059375,49.07490312965723,51.05311627906977,-36.06709748083242,-36.06709748083242,17.383555743243242,61.25633928571428,61.3476304023845,63.82055813953488,0.010537740599090292,0.019587442900326334,-10.423877327491786,0.6136832602527728,12.254464285714286,0.8843982169390787,5.877358490566038,1.939306358381503,0.0012450932696331468,0.11815561959654179,0.03927364864864865,0,0.6987361361877741,-0.038748137108792845,-0.01097972972972973,-0.6666666666666666,0.017736486486486486,9.779772183855808,0.04286162244557293,0.0742722602739726,-51.54578754578755,-389000000.0,-11750000000.0,-13446000000.0,-10.423877327491786,1283500000.0,823500000.0,213000000.0,48.57263513513514,0.0,12.318750000000001,1.8528951486697967,0.0,7.30593607305936,-0.380065717415115,-0.09523809523809523
HLT,2022-06-30,2022,Q2,8.057553956834532,1.3237410071942446,1.1978417266187051,1.118705035971223,4.226618705035971,-2.838129496402878,-42.10791366906475,-2.838129496402878,34.514388489208635,30980320000.0,39301320000.0,21.04641304347826,13.8305,93.03399399399399,99.6151768488746,-39.26529784537389,-39.26529784537389,17.54523214285714,61.02689440993789,118.02198198198198,126.3708038585209,0.01187850867905819,0.010038630976051894,-12.035487959442332,0.617344948641269,12.920807453416149,0.8888888888888888,6.040404040404041,0.9073569482288828,0.001323420803916809,0.11141304347826086,0.04598214285714286,0,0.7097256533610714,-0.06606606606606606,-0.009821428571428571,-0.55,0.020982142857142855,9.194092611977046,0.0444338353616118,0.08241881298992161,-50.09262589928058,-355000000.0,-11706000000.0,-13331000000.0,-12.035487959442332,1171500000.0,823500000.0,225000000.0,51.79017857142858,99.61693548387096,12.52016129032258,1.7377812257564003,0.9034608378870674,7.188405797101449,-0.4664131812420786,-0.07913669064748201
HLT,2022-03-31,2022,Q1,6.168458781362007,0.7598566308243727,0.6989247311827957,0.6487455197132617,5.132616487455197,-2.5017921146953404,-41.53763440860215,-2.5017921146953404,34.68817204301075,42335460000.0,50491460000.0,49.92389150943397,24.599337594421847,217.1049230769231,233.8975690607735,-60.652521489971356,-60.652521489971356,29.33844276583382,117.69571095571095,258.9305641025641,278.9583425414365,0.005007622451722504,0.0042753757724611945,-13.736389684813753,0.6202212303512517,19.011655011655012,0.9273905996758509,4.1,0.9241706161137441,0.0,0.0,0.05287623474723998,0,0.7045733876706126,-0.07179487179487179,-0.008134805345729227,-0.3181818181818182,0.02149912841371296,6.540074530473344,0.02702319978092393,0.046419969345303264,-49.505376344086024,-224000000.0,-11589000000.0,-13295000000.0,-13.736389684813753,1061000000.0,137000000.0,208500000.0,55.11911679256246,0.0,18.134328358208954,1.6328273244781784,0.0,4.962962962962963,-0.3037249283667622,-0.05017921146953405
HLT,2021-12-31,2021,Q4,6.580645161290323,0.5268817204301075,0.46953405017921146,0.34767025089605735,5.114695340501792,-2.942652329749104,-42.02508960573477,-2.942652329749104,35.37992831541219,43521210000.0,51870210000.0,74.01566326530613,23.704362745098038,332.2229770992367,448.6722680412371,-53.010000000000005,-53.010000000000005,28.25174836601307,135.078671875,395.95580152671755,534.7444329896907,0.003377663442721376,0.00222879832614948,-11.907429963459196,0.6331196166051422,21.7421875,0.9509771447499172,3.5052631578947366,0.8851351351351351,0.0,0.0,0.056100217864923745,0,0.7063014053493945,-0.2595419847328244,-0.018518518518518517,-0.7555555555555555,0.026688453159041396,5.906324470246459,0.020441302181127257,0.03241455347298787,-49.982078853046595,-148000000.0,-11725000000.0,-13389000000.0,-11.907429963459196,1040000000.0,853500000.0,198500000.0,52.35294117647059,18.375558867362145,11.669150521609538,1.7191011235955056,4.897810218978102,7.712643678160919,-0.17904993909866018,-0.12186379928315412
HLT,2021-09-30,2021,Q3,6.268817204301075,0.8637992831541219,0.996415770609319,0.9247311827956989,4.616487455197133,-4.043010752688172,-43.132616487455195,-4.043010752688172,34.99641577060932,36858690000.0,45236690000.0,38.235155601659756,21.074150943396226,132.58521582733815,142.86313953488371,-32.67614361702128,-32.67614361702128,25.86431675242996,91.94449186991869,162.72190647482014,175.33600775193798,0.006538485225600801,0.006999706175124509,-8.569148936170214,0.6311871490139741,17.028455284552845,1.0274599542334095,4.408163265306122,1.1583333333333334,0.0,0.0,0.061177815894797025,0,0.7121588089330024,-0.07194244604316546,-0.011435105774728416,-0.43478260869565216,0.029731275014293884,8.864415957863221,0.03159030109505731,0.05467332123411978,-51.19534050179212,72000000.0,-12034000000.0,-13748000000.0,-8.569148936170214,982000000.0,1392000000.0,211000000.0,52.07547169811321,112.73601398601397,17.543706293706293,1.7282608695652173,0.7983251919050942,5.130044843049327,-0.21365248226950354,-0.07168458781362007
HLT,2021-06-30,2021,Q2,4.763440860215054,0.4659498207885305,-0.46236559139784944,-0.5125448028673835,3.7419354838709675,-5.078853046594982,-44.27598566308244,-5.078853046594982,35.204301075268816,33652980000.0,42329980000.0,64.71726923076923,25.322031602708805,-260.8758139534884,-235.33552447552447,-23.749456598447427,-23.749456598447427,31.851000752445447,153.9272,-328.13937984496124,-296.01384615384615,0.0038629565643220898,-0.004249252220754299,-6.860268172194778,0.6442014579191517,31.55272727272727,0.8560633321338611,2.217821782178218,-1.0078125,0.0,0.0,0.07373965387509406,0,0.7247846255798542,0.10852713178294573,-0.010534236267870579,-0.30434782608695654,0.0398796087283672,7.296988420206298,0.023809721527901187,0.03130267276667469,-52.50358422939068,-400000000.0,-12353000000.0,-14127000000.0,-6.860268172194778,874500000.0,1311000000.0,174000000.0,64.46952595936794,127.72058823529412,18.81302521008403,1.3960084033613445,0.7046632124352331,4.78391959798995,-0.09174311926605505,-0.05017921146953405
