symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
HPQ,2023-10-31,2023,FY,54.15120967741935,3.2893145161290325,3.599798387096774,2.9858870967741935,3.2580645161290325,-1.0776209677419355,-9.737903225806452,-1.0776209677419355,9.560483870967742,26119360000.0,32371360000.0,8.004707324547962,0.4862310584906363,7.314298515821899,8.818149898717083,-24.433451824134703,-24.433451824134703,0.6026166275736252,5.543041095890411,9.065068608232988,10.928885887913571,0.12492649130759714,0.11340247234235448,-8.871842843779232,0.25629661658199115,1.0705479452054794,0.7341146684090166,0.0,1.0943916641127795,0.039664065275718856,0.31749923383389517,0.0,0.029375628281023122,0.2321640903686088,-0.1705404648557827,-0.011336982017200938,-0.7164705882352941,0.008153691500055847,8.930524708647734,0.4562813740966718,0.11484179776862703,-28.459929435483872,-6511000000,-9660000000,-20096000000,-8.871842843779232,4391500000.0,14665000000.0,7228500000.0,28.789325738113853,121.4591329068941,59.337360814972754,12.678310125088506,3.0051260145237078,6.1512678519382105,-3.0523854069223573,-0.6139112903225806
HPQ,2022-10-31,2022,FY,60.677263969171484,3.085741811175337,4.299614643545279,3.53757225433526,3.029865125240848,-2.811175337186898,-12.901734104046243,-2.811175337186898,10.95664739884393,28669560000.0,36538560000.0,8.950846081798314,0.45519521140625246,6.423831503473001,7.807614379084967,-9.825071967100754,-9.825071967100754,0.580133686867885,5.532792247122956,8.186995294644857,9.950588235294118,0.1117212820845524,0.1280800961019283,-3.774503084304318,0.2854329178220644,1.1915505754088431,0.7571215539326273,13.025069637883009,1.3933812051202,0.03617076788063716,0.32375897596003744,0.08357810837845132,0.025292539256624804,0.22134397595044963,-0.17723504369258347,-0.012558944477081117,-1.014102564102564,0.005445913976787387,13.970598724510955,0.3596938971559614,0.10660320841376555,-30.01252408477842,-6352000000,-11459000000,-21704000000,-3.774503084304318,5028500000.0,15679500000.0,7762500000.0,26.345045488465143,110.14571157794977,54.73414547464856,13.854597448306203,3.313792200994504,6.668597761685319,-1.0976696367374914,-0.7620423892100193
HPQ,2021-10-31,2021,FY,52.55546357615894,5.383278145695364,5.305463576158941,4.823675496688741,3.562913907284768,-1.3658940397350994,-7.646523178807947,-1.3658940397350994,6.412251655629139,37750000000.0,40943000000.0,5.805013070890358,0.5946099201411312,5.890154470276174,6.47846233053029,-22.87878787878788,-22.87878787878788,0.6449036810685652,6.099061522419187,6.388360118583242,7.02642869401064,0.17226490066225164,0.15435761589403973,-4.540606060606061,0.19404299404299405,0.47564427230746315,0.7619604069287874,20.874015748031496,0.9855451330155313,0.024847682119205298,0.1442411194833154,0.08984516515192087,0.030037645502228802,0.1761978761978762,-0.09080979872054923,-0.009167231086679163,-0.7414012738853503,0.005197914533684061,12.862434431414377,0.6440031986008997,0.20445185022164933,-23.06105132450331,-6926000000,-8453000000,-18090000000,-4.540606060606061,5446000000.0,15389500000.0,6946500000.0,31.683888040071192,117.18344317954862,57.808068703814655,11.520050807475958,3.114774494556765,6.313997477931904,-3.9412121212121214,-0.4817880794701987
HPQ,2020-10-31,2020,FY,40.08421797593772,2.0127388535031847,3.05449398443029,2.6440198159943384,3.636234961075725,-1.5767869780608634,-6.474168435951875,-1.5767869780608634,4.56900212314225,25377480000.0,26730480000.0,8.923164556962027,0.44805663941806884,5.879860982391103,6.792687366167024,-11.390251346499102,-11.390251346499102,0.4719447730362471,5.133566352986365,6.193345690454124,7.154839400428266,0.11206786489438667,0.14721713897518587,-2.790394973070018,0.1792624203454341,0.25984251968503935,0.787490465293669,14.485355648535565,1.5175808720112518,0.039286800738292375,0.35056258790436007,0.09039707621956602,0.026095093486820035,0.1839624001614717,-0.13438368860055608,-0.010240293790497713,-0.7351077313054499,0.004908278747859249,8.450287529127154,0.5896539234371363,0.10049114872265998,-17.518577494692146,-5572000000,-8608000000,-16261000000,-2.790394973070018,5706000000.0,14748500000.0,5848500000.0,34.676901075230845,116.16293666940825,47.108242067442966,10.525738710276901,3.142138193688792,7.748113365755493,-1.2764811490125674,-0.41047416843595186
HPQ,2019-10-31,2019,FY,38.78283828382838,2.0805280528052807,3.071947194719472,2.629042904290429,2.9947194719471946,-0.7874587458745874,-5.42970297029703,-0.7874587458745874,3.5504950495049505,26315550000.0,26915550000.0,8.348842005076142,0.4478785145346858,5.654394069617534,6.606967110218428,-22.058298407376366,-22.058298407376366,0.45809023759275647,5.135575271894677,5.78331542758917,6.757607331157419,0.11977708997151874,0.15135537733393373,-4.305951383067896,0.15349448710670213,0.11448196908986835,0.7977305973984897,16.020661157024794,1.476522842639594,0.0368603354290524,0.30774111675126903,0.0,0.025512288106746547,0.19039650999492036,-0.14417705199828104,-0.011420110286609027,-0.9018817204301075,0.00505480291374498,6.07144342413122,1.2280833773502842,0.11633142646244694,-15.005115511551155,-5116000000,-7565000000,-14483000000,-4.305951383067896,5572000000.0,14804500000.0,5898000000.0,37.465365239294705,113.46709116126593,43.981633253477916,9.742331288343559,3.2167917258162646,8.298918730380189,-2.642078792958927,-0.4429042904290429
HPQ,2018-10-31,2018,FY,36.205572755417954,3.2984520123839007,2.803715170278638,2.4656346749226006,3.639009287925697,-0.3956656346749226,-4.371517027863777,-0.3956656346749226,3.90030959752322,38986100000.0,39807100000.0,7.318584569175897,0.6667481871665071,8.61000441696113,9.790582621798091,-61.01111111111111,-61.01111111111111,0.6807890956355178,7.802254018032144,8.791320671378092,9.996760421898543,0.13663844293222455,0.10213896747815247,-9.369327073552425,0.17292472994050026,0.16091728733829871,0.8510206517846485,13.025641025641026,0.8500093861460485,0.023059500693837037,0.16876290595081658,0.08309960322889588,0.024011492680257217,0.1723759459303333,-0.12058303886925795,-0.009337802708988917,-1.0340909090909092,0.004583390340675879,5.418892179293168,1.34352535174801,0.18590772666992392,-13.943188854489165,-3744000000,-6607000000,-13874000000,-9.369327073552425,4763500000.0,14047500000.0,5924000000.0,31.916900396771105,113.12762797313975,46.28642553814614,11.435947584588304,3.226444384449244,7.88568129330254,-8.336463223787167,-0.3380804953560371
HPQ,2017-10-31,2017,FY,30.838862559241708,1.4964454976303319,2.1783175355450237,1.9401658767772512,4.825829383886256,-2.018957345971564,-5.349526066350711,-2.018957345971564,4.815165876777251,36376400000.0,37198400000.0,14.40079176563737,0.6987936068848932,9.89295621430514,11.107297709923664,-10.673826291079811,-10.673826291079811,0.7145842938374058,7.658719374099238,10.11650802284471,11.358290076335878,0.0694406263401546,0.09003089915439681,-2.294307511737089,0.2375657035214049,0.1692402717726992,0.9958058183116187,11.388349514563107,1.455661124307205,0.024576373692833813,0.35391923990498814,0.08406331642846165,0.022859996926386968,0.1708139640871388,-0.10932825673103073,-0.0077224527431996315,-1.1355932203389831,0.004303058244966958,8.244897918194846,0.615136733590599,0.09255798614927999,-13.016291469194313,-94000000,-9030000000,-14003000000,-2.294307511737089,4264000000.0,12191000000.0,5135000000.0,30.949554326110338,114.10224116012995,49.717265407975894,11.793384685092887,3.1988854582423376,7.341513999308676,-0.7411971830985915,-0.2381516587677725
HPQ,2016-10-31,2016,FY,27.883236994219654,1.4427745664739884,1.8670520231213872,1.6167630057803468,3.6346820809248555,-2.2479768786127168,-5.497687861271676,-2.2479768786127168,3.9514450867052022,25067700000.0,25615700000.0,10.04314903846154,0.5196670674571914,7.760897832817338,8.96235252055774,-6.4457958344047315,-6.4457958344047315,0.5310274057796758,5.509937620993762,7.930557275541796,9.158276725062567,0.0995703634557618,0.11157784718981,-1.7577783491900232,0.23564288176490866,0.11787481178748117,0.9819225861335602,0.0,1.2940705128205128,0.034227312437918114,0.34375,0.07960529043492683,0.02506322816037149,0.1937952430196484,-0.13405572755417958,-0.008976325718313362,-1.3042168674698795,0.003772959077905386,8.542528138431285,0.8536555636325054,0.10672139558748076,-12.302601156069365,-340000000,-9511000000,-14431000000,-1.7577783491900232,5598500000.0,10648500000.0,4386000000.0,31.129192752601682,103.27714067278286,41.70897043832824,11.72532814778804,3.534179951364496,8.751115075825156,-0.6418102339933145,-0.2502890173410405
HPQ,2015-10-31,2015,FY,28.369900771775082,2.5104740904079383,3.577728776185226,1.591510474090408,4.180815876515987,15.30760749724366,11.27728776185226,15.30760749724366,4.890297684674752,22203360000.0,23490360000.0,4.875573122529644,0.4314431727648991,3.421164869029276,7.6908070661586425,0.7996024200518582,0.7996024200518582,0.4564514311252745,2.9388665081946703,3.6194699537750386,8.136598545202633,0.20510409235358973,0.1300253655302621,0.3194684528954192,0.08299807264085628,0.16101588890278995,1.2274418714891802,0.0,1.4251207729468598,0.05629778556038365,0.27448397013614406,0.09171637875755397,0.02314284048734042,0.0531427181377594,-0.5551617873651772,-0.07001146454734469,-0.8872198965771977,0.013776888249810543,29.405108742856257,0.11262405131366961,0.04499911068951207,-35.11066703417861,9596000000,22471000000,-26944000000,0.3194684528954192,11930500000.0,13048500000.0,5351500000.0,50.23599479237511,89.60625180618437,37.69193719294866,7.26570662148807,4.073376495978026,9.683768656716419,0.16400172860847018,-1.986218302094818
HPQ,2014-10-31,2014,FY,59.22104144527099,2.6636556854410203,6.553134962805526,4.505844845908608,8.040913921360255,14.203506907545165,-3.2624867162592985,14.203506907545165,10.374601487778959,30657780000.0,35049780000.0,6.115655296229802,0.2750711504297737,2.485833130625152,3.615304245283019,1.1468998541019788,1.1468998541019788,0.31447754230444847,2.3715934772312064,2.8419508635368524,4.133228773584905,0.1635147750424199,0.2766018935487175,0.7304253488459093,0.18918473732147356,0.2971784288517491,1.1465645364124843,0.0,2.460203470975464,0.038619887023783196,0.23618591661679633,0.11980727475012112,0.030927557557377933,0.3223359107028661,-0.31241384902294655,-0.03457031600480916,-0.8890170742962621,0.0050244944102499686,29.17615753262205,0.1456957096872399,0.07167674687942349,-23.99309245483528,6410000000,-6140000000,-25934000000,0.7304253488459093,17899000000.0,14961000000.0,6230500000.0,54.94616613131875,68.4189464750881,27.59904053560273,6.642865657408511,5.334779601333082,13.225097427903352,0.1875350716396693,-2.047290116896918
