symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
NFLX,2022-12-31,2022,FY,71.09442812875254,10.101066341652087,4.556478778856662,3.639611601581298,13.623744653675079,46.72249706542418,-26.893109481041066,46.72249706542418,33.86407854319111,131132546240.0,140338446240.0,29.19295745876377,4.1477230742466915,64.71664070253675,81.0196340378418,6.311306512301514,6.311306512301514,4.438905735943231,6.902019221505187,69.25994394590617,86.70745655311492,0.03425483702405076,0.012342687200153614,0.6908022808049957,0.29536257895088625,0.4527576045882165,1.168390288506809,7.976119069061415,0.4510888875234755,0.0,0.0,0.04975054996670942,0.08575023999266183,0.6736674409063955,-0.20122274716385927,-0.012896470249608183,-0.028387821495147122,0.018201549553937855,103.04760286573205,0.13682487234116167,0.28325819276071373,-48.037523218004125,1335499000,-11959312000,-18550894000,0.6908022808049957,1195609000.0,754498000.0,-1195609000.0,18.320660877321444,12.786863561346255,-30.21750615665408,19.92286208691422,28.544920202587292,-12.079090779621627,0.21619277598771858,-0.9168671772753644
NFLX,2021-12-31,2021,FY,67.01457503582267,11.545007954327493,0.8859428416693933,-0.2978077647775609,13.602021865938553,35.76456995859237,-34.0068170279022,35.76456995859237,36.46244541977412,266974298200.00003,276339389200.0,52.18186097257589,8.98968619405503,679.9987218868598,-2022.9156900928208,16.844603491597834,16.844603491597834,9.305032015118673,14.510192453444043,703.8521413107155,-2093.876788785755,0.01916374735131713,-0.0004943359749976111,0.9712066465235448,0.34525089939560605,0.49174774956047684,0.950625199818211,8.090840103445574,0.07673817507742031,0.0,0.0,0.045512428444300534,0.07656734273370147,0.6935016868917457,-1.3361478311810702,-0.0176640768939321,-0.04217335158056912,0.013577416596302412,96.38620495039032,0.17369825515044376,0.37440040792897306,-50.78704065169072,-419141000,-15070291000,-20665590000,0.9712066465235448,707569500.0,746833000.0,-707569500.0,9.885458351791463,17.636121020617523,-16.937758568595523,36.92292122538293,20.69616099670083,-21.549486522777006,0.3228057255460953,-1.1837506064469543
NFLX,2020-12-31,2020,FY,56.69042597103343,6.262774368255609,5.50454955751811,4.375272723973855,18.609980903651895,25.095685858269718,-32.47447394323713,25.095685858269718,40.13161738357351,238419753060.0,246523176060.0,86.34032909453374,9.538294883800868,98.23328763776345,123.58772449477854,21.546731300902646,21.546731300902646,9.86248294770983,15.896607612721017,101.57204574061721,127.78823051969931,0.011582073064663712,0.008091418497168374,1.4738923873318608,0.4151940922943194,0.5225347888571195,1.2505571188547981,3.3084325439773727,0.8789314820951005,0.0,0.0,0.04306623412909621,0.07319554732954671,0.6462250001330181,-0.20515335937013948,-0.019920062589074052,-0.04558639857719145,0.016609820365260822,59.46674623944666,0.14457459614950724,0.1987128473262409,-45.0348684121001,1955795000,-14318710000,-18453539000,1.4738923873318608,794943500.0,665265000.0,-794943500.0,8.919364518946509,15.678305421613675,-14.594414727788807,40.92219790150601,23.280577217026348,-25.00956748234747,0.2495558162317311,-1.129276833544255
NFLX,2019-12-31,2019,FY,46.04041352310078,4.264322211791256,-6.595085872740687,-7.17305658532797,11.462879083780456,17.318808402942903,-38.65337746317374,17.318808402942903,37.06798325258852,141658622430.0,151399445430.0,75.87841254239612,7.027955989961922,-49.06228762500338,-45.10908232089536,18.683156050448442,18.683156050448442,7.511216903951376,12.608130977641721,-52.435940788730875,-48.21090259164802,0.013178978928180164,-0.0221684846720276,2.0577657518830064,0.45921930937017597,0.8111890493734218,0.9012219911734709,4.159997316392529,-1.5465730648834763,0.0,0.0,0.04536360004320206,0.07665780581270101,0.7212377771509247,0.0876365711894967,-0.012553551724666554,-0.027150184992724112,0.020111480956936507,40.7638569749551,0.10168896372959822,0.19711618816943463,-48.264959490542466,-677192000,-16922410000,-20215051000,2.0577657518830064,489534000.0,618666000.0,-489534000.0,17.729306161944116,19.78556597061481,-28.726181778398814,20.587382081734873,18.447791715541108,-12.706178733244268,0.24622491990076176,-0.5779707125872832
NFLX,2018-12-31,2018,FY,36.27763945481356,2.7820724250873963,-6.156727319500016,-6.64488692480488,8.715456136563047,12.03279249564742,-22.330660535539558,12.03279249564742,25.858154138740485,116532204840.00002,123097779840.00002,96.20885408531079,7.37809857593932,-43.47439574792416,-40.28059514464342,22.244213061666255,22.244213061666255,7.793790183458747,13.231471718750807,-45.92379938063309,-42.55005592443306,0.010394053743881776,-0.024825849677967866,2.068707987474147,0.4172367792903782,0.705717195247161,1.4943204589876868,3.8174856656353375,-2.213000374821877,0.0,0.0,0.039906318345285824,0.0773577067887796,0.5759884347665394,0.07928881367845075,-0.013456211943252333,-0.027758531132611338,0.020302018298832474,27.444712687075683,0.09861204054014082,0.10997847540179523,-38.9117218759044,3206815000,-9722189000,-11041500000,2.068707987474147,0.0,461270000.0,0.0,0.0,20.615875755878733,0.0,0.0,17.704802081760615,0.0,0.231207546053316,-0.4881596053048643
NFLX,2017-12-31,2017,FY,27.073672389640763,1.2941616402514557,-4.135239705014066,-4.660893524896674,6.5359875892888155,8.29377264781134,-15.719691584565336,8.29377264781134,16.596742188314018,82904644600.0,86581281600.0,148.3276849116793,7.090283033544054,-46.42052545762811,-41.18523604425302,23.14507620975802,23.14507620975802,7.404721350810544,12.077069140406614,-48.479172741871544,-43.011709861547864,0.006741829757509146,-0.02428054555582764,1.902459438362727,0.3584188961276601,0.5128475628059674,1.403135057054921,2.3734541173540715,-3.195303875805335,0.0,0.0,0.07385522932103097,0.090037102595437,0.5454791844332606,0.12711568309939594,-0.019415682228752215,-0.03586227377955685,0.015583124292882241,15.540378190690667,0.09290453681764313,0.06467822775807548,-29.19293561943573,2203662000,-6789099000,-7760812000,1.902459438362727,0.0,336198500.0,0.0,0.0,17.133589767491166,0.0,0.0,21.303183101333595,0.0,0.15604016353076364,-0.5256538198826076
NFLX,2016-12-31,2016,FY,20.592854377807107,0.435327478534217,-3.4372863332571555,-3.868304331400908,4.043127451483366,6.249212960155962,-10.714704469453526,6.249212960155962,8.656405221747018,53088163600.0,54984898600.0,284.38361028080436,6.011794078115712,-36.01678417133429,-32.00368673039895,19.81049466378088,19.81049466378088,6.226583580473914,10.305290671206738,-37.30359257631019,-33.14711510754069,0.0035163770479339014,-0.03124640009209134,1.3291824016717666,0.2621656910737851,0.35548679726493687,1.2471590964835608,2.5300305101456226,-7.8958634654324555,0.0,0.0,0.06543094300103423,0.09649302901059931,0.535416928873354,0.12539484824801356,-0.020930464045249574,-0.03752910165283987,0.019667252843470862,7.823695911606037,0.043602843775016796,0.029574584342570764,-21.3912252636292,1133634000,-4594701000,-5186519000,1.3291824016717666,0.0,283166500.0,0.0,0.0,18.936849875313044,0.0,0.0,19.274589089700232,0.0,0.06966116874393612,-0.43101799814375197
NFLX,2015-12-31,2015,FY,15.918492846727668,0.2879647044182874,-1.7597049935546587,-2.157005698667963,5.425627334821984,5.220670174622965,-4.905952020362113,5.220670174622965,6.2826041527252405,48713183820.0,49275215820.0,397.2014564460498,7.185353607361947,-64.9995314094943,-53.027212710024,21.909064578717707,21.909064578717707,7.268255161766092,12.789220251599392,-65.74946836233502,-53.63901814084875,0.002517614132001114,-0.01885824181384825,1.1296760045083578,0.24618080538311227,0.1458735576664778,1.5389287924152828,1.8654637949018245,-6.11083569116364,0.0,0.0,0.06008235697235391,0.0959933540929427,0.42270621671096303,0.2257768811070681,-0.024958437267820644,-0.04770336998825783,0.018397344587242355,5.815994904852058,0.05582611238258253,0.020821710632873653,-13.310346123050842,1902216000,-2089391000,-2547605000,1.1296760045083578,0.0,227536000.0,0.0,0.0,20.151301019541428,0.0,0.0,18.11297442512752,0.0,0.05515857060230473,-0.3973007051133042
NFLX,2014-12-31,2014,FY,13.089307709501458,0.634410980011699,0.03919428552405682,-0.3044446980829683,3.8247801667356245,4.417371702501034,-2.1772124809176643,4.417371702501034,2.4326114146847195,20523233564.4,20309625564.4,76.92395235514377,3.728340801750373,1245.115183182673,-160.2964357970211,11.047610046573519,11.047610046573519,3.6895358337378394,6.3777578782620274,1232.155891791543,-158.6280534268509,0.012999852053664425,-0.006238441890662323,0.5220120707883047,0.13742297869059983,-0.06707854364621037,1.4796249109139012,7.557349049344019,0.06178059138152692,0.0,0.0,0.04900233547745763,0.08580390854578379,0.39300880828597023,-8.767578717466481,-0.02625341165733154,-0.05195057297474511,0.020934823175144824,7.940696127817866,0.10875014102176905,0.06228782546269545,-8.53758447351776,1277315000,-915618000,-1258474000,0.5220120707883047,0.0,155008000.0,0.0,0.0,19.606120561933086,0.0,0.0,18.61663549640095,0.0,0.1436172961520325,-0.34363898360702516
NFLX,2013-12-31,2013,FY,10.738125512413289,0.2759127706892235,0.24014325480011586,-0.05458950479397917,2.9466034669821743,3.273458096252694,-1.8594404324154488,3.273458096252694,1.4388368770649949,21426751840.2,21321786840.2,190.6243769312207,4.898033640899364,219.01801923930043,-963.4764081208688,16.06732038519423,16.06732038519423,4.874039238716928,8.632208004284974,217.94509756825548,-958.7565466163047,0.005245918785931615,-0.0010379081330599113,0.41544256318233663,0.10235779241738156,-0.04249548689143884,1.4199047165007197,7.103876306620209,0.8703593320462977,0.0,0.0,0.04121578343157555,0.08658443976791276,0.3863365655051036,-1.227320583455142,-0.027447319297337652,-0.053562506691410015,0.016710244362749916,4.50796518333088,0.07948479633566478,0.03384111718468688,-7.06601846897046,904560000,-757510000,-1020239000,0.41544256318233663,0.0,97451500.0,0.0,0.0,12.836681417306899,0.0,0.0,28.434140268363535,0.0,0.0842878578482724,-0.29473275959409506
