symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
PPG,2023-09-30,2023,Q2,19.661303979678237,1.8035563082133785,3.7764606265876375,3.1879762912785776,5.4276037256562235,32.81541066892464,-2.802709568162574,32.81541066892464,29.9618966977138,30658760000.000004,36453760000.0,17.992230046948357,6.601800172265289,34.370807174887894,40.71548472775565,3.9554586504967104,3.9554586504967104,7.8496468561584845,10.839655069878084,40.86744394618834,48.41136786188579,0.01389488681212156,0.024560680210158527,0.9047864791639788,0.32617087577321985,1.7231638418079096,1.4807843137254901,6.8125,2.0458715596330275,0.0049904170944943625,0.3591549295774648,0.22545219638242894,0.023255813953488372,0.3998418678201014,-0.15582959641255606,-0.029931093884582257,-0.9788732394366197,0.0017226528854435831,36.491778809307334,0.02191238894444268,0.03301301921884687,-35.84462320067739,2452000000.0,-662000000.0,-6014000000.0,0.9047864791639788,1158000000.0,0.0,2361500000.0,70.0,0.0,72.50363372093024,1.2857142857142858,0.0,1.241317095173658,0.05496065023867888,-0.5884843353090601
PPG,2023-06-30,2023,Q1,20.64406779661017,2.0762711864406778,2.2711864406779663,1.7542372881355932,5.491525423728813,32.26271186440678,31.402542372881356,32.26271186440678,33.03389830508475,34998800000.0,33958800000.0,17.8565306122449,7.183661740558292,65.29626865671642,84.53816425120773,4.596637772524297,4.596637772524297,6.9701970443349754,40.14042553191489,63.35597014925373,82.02608695652174,0.014000480016457704,0.01182897699349692,1.015103756238508,0.3575923012862034,-1.2293144208037825,1.4896602658788773,10.64179104477612,41.23076923076923,0.00417157159674046,0.2979591836734694,0.21941707717569786,0.02257799671592775,0.40654205607476634,-0.22761194029850745,-0.02504105090311987,-0.04123014531936465,0.0034893267651888342,38.8225208920206,0.035319453971314335,0.03820067046074686,-16.266949152542374,2652000000.0,7411000000.0,2652000000.0,1.015103756238508,1149500000.0,2173500000.0,2552500000.0,-23.940886699507388,0.0,78.6950453593859,-3.759259259259259,0.0,1.14365522745411,0.0643551352771211,-0.5169491525423728
PPG,2023-03-31,2022,Q4,18.575063613231553,1.1195928753180662,0.3604749787955895,-0.1484308736217133,6.2849872773536894,30.28837998303647,36.58184902459712,30.28837998303647,31.170483460559797,31498164000.000004,37363164000.0,29.82780681818182,7.191361643835617,370.5666352941177,-899.9475428571429,4.41027219266312,4.41027219266312,8.530402739726027,68.5562642201835,439.56663529411765,-1067.5189714285714,0.008381440899221935,-0.0011111758767907867,1.02086250350042,0.3299244309697271,10.761467889908257,1.6830320460147905,6.983050847457627,0.31135531135531136,0.004635190800327282,0.553030303030303,0.26986301369863014,0.023744292237442923,0.3893841350287343,-1.411764705882353,-0.0273972602739726,-0.9022556390977443,0.0038812785388127853,27.6222686389716,0.02179702388727158,0.01956425077812361,2.58587786259542,3325000000.0,8626000000.0,3325000000.0,1.02086250350042,3449000000.0,3631000000.0,2435500000.0,73.86986301369863,150.70493066255779,90.1040061633282,1.2183588317107092,0.5971934667586841,0.9988457098884186,0.03696443573228787,-0.5089058524173028
PPG,2022-12-31,2022,Q3,17.770700636942674,1.010615711252654,2.492569002123142,1.8556263269639066,4.900212314225053,27.991507430997878,-7.571125265392781,27.991507430997878,32.64543524416136,29611770000.0,36147770000.0,31.104800420168065,7.075691756272401,50.445945485519594,67.76148741418764,4.492076759708738,4.492076759708738,8.637459976105138,69.9183172147002,61.58052810902896,82.71800915331808,0.008037344609930443,0.014757645355208418,1.1582220873786409,0.3680582337061319,12.642166344294004,1.5193814869730988,7.245283018867925,2.386178861788618,0.004930471903570776,0.6134453781512605,0.22819593787335724,0.025806451612903226,0.40937138449672195,-0.2555366269165247,-0.035842293906810034,-1.1278195488721805,0.0019115890083632018,25.228848305199488,0.02054999249476265,0.01942539993470454,-39.353503184713375,2452000000.0,-1783000000.0,-6862000000.0,1.1582220873786409,3422000000.0,1457500000.0,2341500000.0,71.03225806451613,100.01906214258483,77.9565383149066,1.2670299727520435,0.8998284734133791,1.1544894366197183,0.03610436893203883,-0.6369426751592356
PPG,2022-09-30,2022,Q2,18.9723991507431,1.3970276008492568,2.1740976645435244,1.732484076433121,4.624203821656051,25.62208067940552,-8.883227176220807,25.62208067940552,32.47133757961783,26067495000.0,32639495000.0,19.80812689969605,5.834264771709937,50.913076171875,63.89091911764706,4.320101922439509,4.320101922439509,7.305168979409132,51.40077952755905,63.749013671875,79.99876225490196,0.012621082309596684,0.01565167654199224,1.2596950613191913,0.36424190147594404,10.3496062992126,1.5205034510759237,10.869565217391305,1.5103244837758112,0.005562483084776654,0.44072948328267475,0.20837063563115488,0.024619516562220233,0.39467126701169253,-0.203125,-0.023276633840644583,-0.7703703703703704,0.0020143240823634737,28.379252329071495,0.029356576583254728,0.026044965167827738,-41.50212314225053,2564000000.0,-2092000000.0,-7234000000.0,1.2596950613191913,3679500000.0,0.0,2446000000.0,71.32721575649059,0.0,76.9195320808224,1.261790454673821,0.0,1.1700539195354624,0.054524361948955914,-0.4416135881104034
PPG,2022-06-30,2022,Q1,19.843485617597292,1.865482233502538,0.7106598984771574,0.41455160744500846,4.196277495769881,26.150592216582066,-9.631979695431472,26.150592216582066,33.642131979695435,27029976000.0,34013976000.0,15.323115646258504,5.7620925175868685,160.89271428571428,275.81608163265304,4.372367518602394,4.372367518602394,7.25090087401407,49.65543941605839,202.46414285714286,347.081387755102,0.016315219813735682,0.003625604403052374,1.2803299902944032,0.36691081030966066,10.195620437956205,1.5016456921587609,14.31578947368421,0.375,0.005179434861503392,0.31746031746031744,0.0,0.024515028778512044,0.39718153161505654,-0.4166666666666667,-0.014922191430398636,-0.49645390070921985,0.002558089959496909,33.13046885347506,0.030153121319199054,0.033912642263918796,-43.08375634517766,2591000000.0,-2277000000.0,-7525000000.0,1.2803299902944032,3738500000.0,0.0,2460000000.0,73.25090599019398,0.0,75.58903182125931,1.2286537454164483,0.0,1.1906489318823055,0.0713361371724361,-0.2961082910321489
PPG,2022-03-31,2021,Q4,18.20794590025359,0.0760777683854607,-1.2848689771766695,-2.1048182586644124,4.3660185967878276,26.280642434488588,-10.519864750633982,26.280642434488588,31.162299239222317,31011162000.0,37394162000.0,430.7105833333333,7.1985055710306405,-102.01040131578947,-62.27140963855422,4.987321003538115,4.987321003538115,8.680167595171774,68.86586003683242,-123.00711184210526,-75.08867871485944,0.0005804361668227718,-0.01605873394876335,1.1809263428755228,0.40040351164185617,11.755064456721914,1.4746713070378963,13.266666666666667,-13.217391304347826,0.004482257066020293,7.722222222222222,0.22609099350046424,0.02669452181987001,0.481051311412836,0.6381578947368421,-0.04503249767873723,-1.3379310344827586,0.001392757660167131,6.707151715402223,0.00853457743865714,0.0018913523169065882,-29.6248943364328,2455000000.0,-2489000000.0,-4379000000.0,1.1809263428755228,3405500000.0,1551000000.0,2305000000.0,76.44150417827298,0.0,81.36026686434397,1.1773708663569282,0.0,1.106191061910619,0.002894821486008363,-0.819949281487743
PPG,2021-12-31,2021,Q3,17.649536647009267,1.2047177759056444,1.9208087615838247,1.2847514743049706,4.5155855096882895,26.478517270429656,-11.036225779275485,26.478517270429656,31.575400168491996,40937256000.0,40124256000.0,35.78431468531468,9.77022816229117,89.77468421052632,134.22051147540984,6.512449252306713,6.512449252306713,9.576194749403342,78.21492397660819,87.99178947368421,131.55493770491805,0.006986301182473002,0.007450426086203726,1.1877187400572702,0.3496791719357407,-1.5847953216374269,1.4204425711275026,10.666666666666666,1.6402877697841727,0.003419867711700071,0.48951048951048953,0.2467780429594272,0.02768496420047733,0.4229778464708913,-0.33114035087719296,-0.0360381861575179,-1.0134228187919463,0.0042959427207637235,26.790495698932155,0.022623421751850357,0.023214285714285715,-43.885846672283066,1995000000.0,-2620000000.0,-8200000000.0,1.1877187400572702,3267000000.0,1551000000.0,2210000000.0,67.70405727923628,103.7072808320951,72.5817236255572,1.3293147208121827,0.8678272082527402,1.2399815753109167,0.04549793191218581,-0.6360572872788542
PPG,2021-09-30,2021,Q2,18.377469525010508,1.4459857082807903,2.2068095838587642,1.8789407313997477,5.48129466162253,26.284153005464482,-11.08869272803699,26.284153005464482,29.508196721311474,34022078999.999996,39796079000.0,24.725348110465113,7.781811299176577,64.80395999999999,76.11203355704697,5.440920997920998,5.440920997920998,9.102488334858188,62.37629937304075,75.80205523809524,89.02925950782998,0.010111081101187263,0.013138526896019496,1.1178634255557331,0.3890898970219872,9.050156739811912,1.3362621270364268,13.6,1.5217391304347827,0.004114974866762258,0.4069767441860465,0.217291857273559,0.02607502287282708,0.5036459782911217,-0.14857142857142858,-0.017840805123513267,-0.5342465753424658,0.0009149130832570906,29.2428874429965,0.023754087480046718,0.038577997084221154,-27.700714585960487,1837000000.0,-2638000000.0,-4255000000.0,1.1178634255557331,3440000000.0,0.0,2237500000.0,69.62031107044831,0.0,74.06147091108672,1.2927261975162625,0.0,1.2152067585593598,0.05501359347513193,-0.32786885245901637
PPG,2021-06-30,2021,Q1,18.330529857022707,1.8124474348191757,2.5399495374264087,2.2792262405382675,5.487804878048781,26.248948696383515,-11.968040370058873,26.248948696383515,31.042893187552565,40371306000.0,46527306000.0,23.41723085846868,9.261598072952513,66.8399105960265,74.48580442804428,6.467687600128165,6.467687600128165,10.673848589125946,62.874737837837834,77.03196357615894,85.84373800738007,0.010675899362780088,0.013425376924888186,1.1776674142902916,0.40200153122607457,8.31891891891892,1.3567784256559767,16.322580645161292,1.3949191685912241,0.0031705687202687968,0.29698375870069604,0.21908694654737326,0.024546914429915117,0.5062342775894126,-0.10264900662251655,-0.014223445744436798,-0.45255474452554745,0.0041293874741913286,32.717486058037224,0.026798713405386778,0.0477350758666519,-28.736333052985703,1958000000.0,-2846000000.0,-4429000000.0,1.1776674142902916,3266000000.0,0.0,2070000000.0,72.22298692360633,0.0,76.20387980220616,1.2461406518010292,0.0,1.1810422282120396,0.06904838192886895,-0.2607232968881413
