symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
VTRS,2023-09-30,2023,Q3,3.2862859524802,0.276448520216757,0.6953730721133806,0.610254272613589,1.3042934556065027,17.395248020008335,-8.914547728220091,17.395248020008335,15.444601917465612,11827070000.0,28901770000.0,8.916669179734619,3.0003475481366855,14.179438916197096,16.15719945355191,0.5668214669120466,0.5668214669120466,7.33193891270707,55.73037022753567,34.650245773888024,39.483292349726774,0.028037375275533162,0.061891914058173327,0.8810817805383023,0.3771710987924321,32.92460470497493,1.5996488147497805,3.192226148409894,2.5153799758745476,0.012167003323731069,0.433956574185766,0.0,0.053578223699231334,0.6474541776597884,-0.12240738520561084,-0.025901215150054543,-0.1502796585222255,0.010933813643167001,10.401924721585543,0.009106072310534716,0.019297020484171323,-18.068090871196333,4098000000.0,-10693000000.0,-16945000000.0,0.8810817805383023,3672900000.0,1649350000.0,3656700000.0,85.35604657652401,79.5427885897094,146.83684350839775,1.0544068476661763,1.13146649238349,0.6129251885944607,0.015892186182041256,-0.08511879949979158
VTRS,2023-06-30,2023,Q2,3.2682235195996663,0.22018348623853212,0.42944120100083405,0.35521267723102584,0.6722268557130943,17.383903252710592,-9.819516263552961,17.383903252710592,15.616430358632194,11966020000.0,29917220000.0,11.331458333333334,3.0536467105598937,23.239502816080794,28.09584409485795,0.5740943132805266,0.5740943132805266,7.634670545603021,62.864509350703926,58.102971450767136,70.24470532988964,0.0220624735709952,0.035592452628359306,0.8914327385778643,0.3815653288209105,37.720529523009034,1.4988197063061406,2.569241475295755,1.950378787878788,0.012025719495705339,0.5450757575757575,0.0,0.0531567396519165,0.6698175590201909,-0.17284909691202174,-0.02271219313019956,-0.12960535896315714,0.010003572704537335,9.280198786062801,0.007377251659044889,0.016419646355647053,-18.782047539616347,3254200000.0,-11773600000.0,-18073900000.0,0.8914327385778643,3552400000.0,1362500000.0,3652900000.0,82.85025264124943,51.02337662337662,141.87662337662337,1.086297230615696,1.7638973732437386,0.634353975010298,0.012665940614010258,-0.07422852376980818
VTRS,2023-03-31,2023,Q1,3.101122661122661,0.18686070686070685,0.8076507276507277,0.7390436590436591,0.5655717255717255,17.403659043659044,-10.267692307692307,17.403659043659044,15.571808731808732,11568050000.0,29639550000.0,12.870549621717846,3.1021023839532327,11.911089373970345,13.016822324744009,0.5527573239551029,0.5527573239551029,7.948177844520125,63.02264512013608,30.518482289950576,33.3515809609542,0.019424189902360382,0.07682366518125354,0.887719264713612,0.3769126520079042,38.42547310227514,1.5766441282886658,-1.7666666666666666,4.322207387627948,0.012430789977567525,0.6399643969737427,0.0,0.04904668686814513,0.6750794275535502,-0.08494645799011533,-0.0221233005282776,-0.11301369863013698,0.011423667909146978,8.554025408798445,-0.004547787777017525,0.01403024588833248,-19.315530145530147,3522200000.0,-12346900000.0,-18732000000.0,0.887719264713612,3656000000.0,1286700000.0,3591900000.0,84.41044756107371,58.24957702684165,150.80113402533266,1.066218727662616,1.5450755970043804,0.5968124880604754,0.010736863230424457,-0.06860706860706861
VTRS,2022-12-31,2022,Q4,3.1951199406479267,0.8335668947325034,0.11755007831176326,-0.019206990355288105,1.2138323303932075,17.37062072376556,-9.859533426757894,17.37062072376556,16.009727145330146,13501803000.0,31516203000.0,3.338064428401899,3.483437306501548,94.68305049088359,-579.4765236051502,0.6407370339260546,0.6407370339260546,8.131115325077399,19.17510525675347,221.0112412342216,-1352.6267381974249,0.0748937012338278,-0.00172569544971142,0.9146747151473735,0.3853149201754421,10.96033098077391,1.5765023272360736,5.2603670972127805,0.14102056962025317,0.010776338537897494,0.1438884493670886,0.0,0.047058823529411764,0.6603647980296748,-1.1633941093969145,-0.04280185758513932,-0.19073350195447228,0.0076367389060887515,18.049665466883862,0.013117634873600228,0.05951981541323068,-18.841624763003875,3889200000.0,-11960600000.0,-18314500000.0,0.9146747151473735,3574200000.0,974600000.0,3449950000.0,88.57198142414862,40.05534417156693,121.73988239363543,1.0161226897365316,2.2468911917098446,0.7392811478903253,0.04798716798830693,-0.13675706866705137
VTRS,2022-09-30,2022,Q3,3.363463917525773,0.29220618556701033,0.7167010309278351,0.6212783505154639,0.8064329896907216,15.820453608247423,-11.452041237113402,15.820453608247423,16.19917525773196,10330500000.0,29172100000.0,7.289373412362404,2.5331028394880093,11.887802071346373,13.713659896455596,0.5385433446458454,0.5385433446458454,7.153180324653033,50.57576282940361,33.56973532796317,38.725740076994555,0.03429650065340497,0.07291999419195586,1.0159522059398507,0.400477985146704,32.665742024965326,1.6082129604072746,-0.8009138381201044,2.4527236804967543,0.014084507042253521,0.4106689246401355,0.0,0.04288656760335442,0.6795341802534184,-0.1331415420023015,-0.02837035947231622,-0.1654038598999285,0.007135500956304252,10.198714333833017,-0.002611790281506242,0.0227192571835303,-20.05103092783505,3966400000.0,-13885600000.0,-18992500000.0,1.0159522059398507,3535050000.0,920950000.0,3496450000.0,73.57437104604972,30.563996909605972,130.5845995364409,1.223252047151984,2.9446410515672397,0.6892083777067802,0.01847015217153313,-0.09542268041237113
VTRS,2022-06-30,2022,Q2,3.39585911078116,0.25892930792708074,0.661964860183123,0.5881382496081828,0.7778602656108224,16.33704528582034,-12.22362451538398,16.33704528582034,16.596964447743957,12692781000.0,32002681000.0,10.108936763300415,3.083166780023319,15.816549532710281,17.801936886395513,0.6408747614287013,0.6408747614287013,7.77367882821609,58.60223585423915,39.87873021806853,44.884545582047686,0.02473059292522261,0.05617366280880447,1.0085431246023813,0.39070045828761213,35.35964109137521,1.4550460865489767,-1.207676490747087,2.556546670914304,0.01146320889015575,0.46352341510035044,0.0,0.039496696463272446,0.6772426850998824,-0.11152647975077881,-0.02174018655266226,-0.12390973279800636,0.007141469102215313,9.755928769840105,-0.00354690514733711,0.019023089509726684,-21.255712282438342,3495300000.0,-14818700000.0,-20143200000.0,1.0085431246023813,3915050000.0,989550000.0,3704900000.0,81.6794597745822,39.18085767557489,134.71100062150404,1.1018682083400246,2.2970400685257446,0.6680968858131487,0.01584921284094237,-0.0738266105749402
VTRS,2022-03-31,2022,Q1,3.4627839735646426,0.32978108219743907,0.9405204460966543,0.881123502684841,0.8589838909541512,16.891945477075588,-13.038331268071046,16.891945477075588,17.77348203221809,13170240000.0,33786440000.0,8.247895791583167,3.141980580671327,11.568063241106719,12.347871741983875,0.644093956777535,0.644093956777535,8.060319202232984,49.693249007206944,29.676275801493194,31.676767297956122,0.030310761231382266,0.080985616055592,1.0450368501102814,0.3996603506094425,30.322400352993085,1.2179219944207655,-0.38372093023255816,2.851953907815631,0.011017263163009937,0.36347695390781565,0.0,0.033948040174630816,0.6776267185866396,-0.06315327184892403,-0.017152945105804326,-0.09769021739130435,0.006751437364315194,11.195512107386056,-0.001008487449290088,0.023160423060633664,-22.31336224700537,2101400000.0,-15782900000.0,-21274900000.0,1.0450368501102814,4180150000.0,992250000.0,3887500000.0,87.90013598301404,34.520140466845696,141.19272877504648,1.0238892010063754,2.6071736320551486,0.6374265925789376,0.01952297813446011,-0.0593969434118133
VTRS,2021-12-31,2021,Q4,3.589879278981313,-0.21812468992889036,0.432528526542087,0.24946254340995536,0.77311063337192,16.944517942781545,-14.680998842401191,16.944517942781545,17.978170993881264,16363182000.0,37256582000.0,-15.507185367702805,3.7689289662797125,31.28117377174536,54.236599270798806,0.7984883397502525,0.7984883397502525,8.581302284871937,170.74510540788268,71.22267635251386,123.4888365926417,-0.016121558753059154,0.018437734176641192,1.0537703670087397,0.39375451289868496,95.75343721356553,1.1030411557605924,-0.5236167341430499,-1.9829416224412433,0.008128003465340665,-0.5041698256254739,0.0,0.06154413119587249,0.6974096873244984,-0.4232460332632384,-0.05099502487562189,-0.2952787409975994,0.005182421227197346,9.119232355353944,-0.0023692484237574215,-0.01589645011419171,-23.339217793947412,1018500000.0,-17755200000.0,-23447200000.0,1.0537703670087397,4305950000.0,1097550000.0,4029800000.0,88.44112769485903,34.00436462507155,128.07419862621637,1.017626101631352,2.64671906069501,0.7027176509037886,-0.012872876682916356,-0.18306598313213163
VTRS,2021-09-30,2021,Q3,3.7514264450508557,0.2575870338212189,0.897709418671959,0.7886380550731829,0.8193169602249235,17.482262465889356,-14.897213263871661,17.482262465889356,19.78318035226991,16386015000.0,39401315000.0,13.150894863563403,3.611959396905171,15.093971075902727,17.181519345706196,0.7750713059272609,0.7750713059272609,8.685208085350263,28.6659257911968,36.29450534266765,41.31416063751704,0.019010113197137926,0.05820207048510574,1.1244294343299608,0.4239652294258646,16.744488905056386,1.1192113936202852,2.3541803818301514,3.4850722311396467,0.008116677544845406,0.42696629213483145,0.0,0.03352731120222193,0.6983452944869307,-0.12149963154016212,-0.029074637393642817,-0.1296824304394848,0.0055107349116078124,10.065887590974306,0.012324024352331597,0.018416805112954435,-23.681654676258994,1204500000.0,-18015200000.0,-23620700000.0,1.1244294343299608,4412100000.0,1229250000.0,4284750000.0,86.20883481021029,34.60253164556962,124.00708860759494,1.0439765274421815,2.6009657594381035,0.7257649623949631,0.014734193261530748,-0.10907136359877616
VTRS,2021-06-30,2021,Q2,3.787061548643283,-0.23097286565188616,0.4627729980145599,0.37764725347452016,0.7050794176042356,17.54376240900066,-15.42620780939775,17.54376240900066,20.571724023825283,17273752000.0,41299852000.0,-15.467184813753581,3.7733741098344185,30.879070432606362,37.8395443592552,0.8145345147098351,0.8145345147098351,9.021768535104199,31.845055131467344,73.82883804075796,90.47065060240963,-0.016163251620145987,0.026427379529357607,1.1647152577698767,0.42597884592500357,18.525792273883877,1.1596036555277027,-0.28605625374027527,-2.0035816618911175,0.0,0.0,0.0,0.032264406483463674,0.6873280778696229,-0.18394708616374686,-0.022478046223076587,-0.07812618631842684,0.006771811787321421,9.548455071542266,-0.0013182930376310481,-0.015399889685603971,-25.08444324950364,1617200000.0,-18647200000.0,-25027400000.0,1.1647152577698767,4503850000.0,1434600000.0,4714900000.0,88.05168421512516,36.538875726900706,124.26817636380419,1.022126956482908,2.463129973474801,0.7242401283536857,-0.013165526314548566,-0.08512574454003971
