symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
WM,2023-09-30,2023,Q3,12.866336633663366,1.641089108910891,3.126237623762376,1.4603960396039604,0.3712871287128713,17.202970297029704,-7.948019801980198,17.202970297029704,38.507425742574256,61585760000.0,76865760000.0,23.22238310708899,11.847972297037321,48.761488519398256,104.3826440677966,8.861260431654676,8.861260431654676,14.787564447864563,50.636205533596836,60.859667458432305,130.28094915254238,0.01076547565541125,0.009580136706927056,2.2201438848920865,0.4831689369030844,10.065876152832674,0.8444760550023708,8.039370078740157,1.9078549848942599,0.004595218115356537,0.42684766214177977,0.08734128510965757,0,0.3186785658368561,-0.5328582739509106,-0.12947287418237785,-2.0332326283987916,0.00461716044632551,25.20339584055872,0.03463435980683933,0.03047155069399761,-55.801361386138616,-656000000.0,-3211000000.0,-21407000000.0,2.2201438848920865,2881500000.0,1682000000.0,172500000.0,50.505963832243175,49.06524466750314,4.9404015056461725,1.7819677751114158,1.8342922899884926,18.217142857142857,0.09539568345323741,-1.6658415841584158
WM,2023-06-30,2023,Q2,12.611480660261147,1.5151515151515151,2.537570830253757,1.2564671101256466,0.35476718403547675,17.02143385070214,-8.080808080808081,17.02143385070214,38.16949987681695,70391178000.0,85615178000.0,28.614299999999997,13.750962688025005,68.3409495145631,138.0219176470588,10.188330872774642,10.188330872774642,16.72498105098652,58.80163324175824,83.12153203883496,167.8728980392157,0.008736890296110687,0.007245226099213739,2.224345057171805,0.4861137470740811,10.456043956043956,0.8186309103740297,7.552,1.6802610114192496,0.004020390168779389,0.46016260162601624,0.0890798984176597,0,0.32289491997216424,-0.5048543689320388,-0.10158234030084001,-1.5615615615615615,0.004102363742918539,24.088921810683214,0.03210903417266796,0.028730262543212183,-54.99507267799951,-771000000.0,-3280000000.0,-21206000000.0,2.224345057171805,2727000000.0,1568000000.0,170000000.0,50.03711662434069,45.932203389830505,4.80225988700565,1.798664792691497,1.959409594095941,18.741176470588236,0.08901432913590969,-1.2811037201281104
WM,2023-03-31,2023,Q1,12.025565388397247,1.3102261553588987,2.566371681415929,0.943952802359882,0.6317600786627335,16.701081612586037,-8.257128810226156,16.701081612586037,38.077679449360865,66377555999.99999,81490556000.0,31.133938086303935,13.568592804578902,63.58003448275861,172.85821875,9.77002590521048,9.77002590521048,16.657922322158626,61.688535957607876,78.05608812260536,212.21498958333333,0.008029822610522147,0.005785087959550666,2.2622902561083307,0.4912112496005113,11.440575321725966,0.8742219917012448,6.875,1.962406015037594,0.004353881302890996,0.5422138836772983,0.09546197874080131,0,0.324928092042186,-0.632183908045977,-0.1349141455437449,-2.018348623853211,0.005314799672935405,22.188946886025494,0.028451698622805544,0.025233158168820716,-54.53294001966568,-485000000.0,-3359000000.0,-21111000000.0,2.2622902561083307,2680000000.0,1638000000.0,167000000.0,47.98037612428455,44.03758911211925,4.9578742709008425,1.8757668711656441,2.043708609271523,18.152941176470588,0.07845157491904622,-1.6224188790560472
WM,2022-12-31,2022,Q4,12.060117302052786,1.2194525904203324,2.5635386119257086,0.45698924731182794,0.8577712609970675,16.737536656891496,-8.030303030303031,16.737536656891496,36.8841642228739,64195296000.0,78828296000.0,32.16197194388777,13.008165349544074,61.19665967588179,343.2903529411765,9.372944371441086,9.372944371441086,15.973312259371834,58.739415797317434,75.1461353670162,421.5416898395722,0.0077731552168557655,0.002912986023150357,2.18776463717331,0.47769949309784165,10.90387481371088,0.8081474738279472,7.018348623853211,2.098,0.004143605786941149,0.533066132264529,0.09584599797365755,0,0.32358848471323365,-0.8217349857006673,-0.1746707193515704,4.124401913875598,0.0026342451874366768,21.42986770266644,0.027246269736360823,0.023518876372719988,-53.7781036168133,-843000000.0,-3286000000.0,-20952000000.0,2.18776463717331,2714000000.0,1627500000.0,161500000.0,50.18844984802431,51.387002909796315,4.772065955383123,1.7932412790697674,1.7514156285390714,18.859756097560975,0.07285735143816616,-2.1065493646138806
WM,2022-09-30,2022,Q3,12.317961165048544,1.5509708737864079,2.8689320388349513,1.0315533980582525,0.3325242718446602,17.014563106796118,-7.104368932038835,17.014563106796118,34.35436893203884,66006520000.0,79932520000.0,25.82414710485133,13.006210837438424,55.84307952622674,155.3094588235294,9.416051355206847,9.416051355206847,15.750250246305418,56.17183415319747,67.6248054145516,188.07651764705884,0.009680861830013156,0.006438757868162115,2.0061340941512125,0.47126436781609193,9.786366830639494,0.8513302034428795,10.351648351648352,1.8497652582159625,0.00404505494305714,0.41784037558685444,0.09083743842364532,0,0.3330652458027546,-0.6404399323181049,-0.14916256157635469,-1.5049701789264414,0.003940886699507389,24.367079548007695,0.034498090488756475,0.03210732589689479,-50.01334951456311,-570000000.0,-2927000000.0,-19565000000.0,2.0061340941512125,2670500000.0,1435500000.0,159000000.0,47.45615763546798,42.46197718631179,4.534220532319392,1.8964872944693572,2.119543317662861,19.849056603773583,0.09115549215406563,-1.837378640776699
WM,2022-06-30,2022,Q2,12.130791505791505,1.4165057915057915,2.5265444015444016,1.1993243243243243,2.1573359073359075,17.3503861003861,-6.428571428571429,17.3503861003861,34.67664092664093,63394911999.99999,76777912000.0,26.999536626916523,12.610883628406603,60.549104106972294,127.55515492957745,8.81709485396384,8.81709485396384,15.273107618858166,55.75737981118373,73.33133906399236,154.4827203219316,0.009259418169079563,0.00783974587739786,1.9856745479833102,0.4738781200212427,9.718954248366012,1.0711982804943578,9.56989247311828,1.7836456558773424,0.004243242738470873,0.45826235093696766,0.09409190371991247,0,0.3271375464684015,-0.5253104106972302,-0.10940919037199125,-1.0826771653543308,0.00517207081758504,23.515542815578723,0.03136137029312313,0.028956195737963694,-48.1750723938224,265000000.0,-2664000000.0,-18949000000.0,1.9856745479833102,2572000000.0,1383000000.0,154000000.0,47.712353292222005,39.586250795671546,4.554423933800127,1.8863039399624766,2.2735166425470332,19.761006289308177,0.08164116828929067,-1.3272200772200773
WM,2022-03-31,2022,Q1,11.212412797690643,1.2340630262208323,3.026220832331008,2.0206879961510706,0.3728650469088285,17.185470291075294,-6.62978109213375,17.185470291075294,32.64854462352658,65888450000.0,79220450000.0,32.109381091617934,14.136118858614031,52.37555643879173,78.43863095238095,9.222907334826427,9.222907334826427,16.996449259815492,63.12386454183267,62.9733306836248,94.31005952380953,0.007785886600762349,0.01274882016499098,1.8878779395296752,0.4615832164002875,10.623107569721116,0.8037309511297951,9.035294117647059,2.4474708171206228,0.004173720887348238,0.5360623781676414,0.10319673889723235,0,0.3388890790239228,-0.3322734499205087,-0.08968032611027676,-0.8672199170124482,0.005363655867839519,21.844426135166223,0.02851553603048846,0.026556918776207486,-48.073731056050036,-747000000.0,-2756000000.0,-19014000000.0,1.8878779395296752,2512500000.0,1379500000.0,142000000.0,47.86741042694701,42.907337237340684,4.619359283499827,1.8801936264622832,2.097543352601156,19.483221476510067,0.07180851063829788,-1.0055328361799374
WM,2021-12-31,2021,Q4,11.194065565924863,1.2108159846853315,2.371380713089256,0.5192629815745393,0.2823642019621919,17.04714046422589,-6.700167504187605,17.04714046422589,32.275664034458,69747510000.0,83034510000.0,34.460232213438736,14.909685763146644,70.38093844601413,321.41709677419357,9.79049831555306,9.79049831555306,17.750002137665668,67.0714943457189,83.78860746720484,382.64751152073734,0.007254739273129607,0.00311122217839748,1.8816676024705221,0.4607004158504313,10.732633279483037,0.7518373346398824,8.650602409638553,1.958498023715415,0.0034409830544488255,0.4743083003952569,0.10324925181701582,0,0.3411348248960374,-0.781029263370333,-0.16545532278751604,-1.5176470588235293,0.005771697306541257,21.55043801790044,0.027565897585195565,0.026394032653487037,-47.56161761186887,-1013000000.0,-2800000000.0,-18902000000.0,1.8816676024705221,2607500000.0,1420500000.0,133500000.0,48.98247114151347,41.87817258883249,4.111675126903553,1.8373919874312648,2.149090909090909,21.88888888888889,0.07102751263335205,-1.8521177315147164
WM,2021-09-30,2021,Q3,11.120381406436234,1.2824791418355184,2.8224076281287247,1.7163289630512515,0.2765196662693683,17.09654350417163,-6.557806912991657,17.09654350417163,31.30870083432658,62656520000.00001,75587520000.0,29.11548327137547,13.43119399785638,52.91935810810811,87.02294444444445,8.73626882320134,8.73626882320134,16.203112540192926,59.191480031323415,63.84081081081081,104.98266666666666,0.008586496664672726,0.011491222302164242,1.8191578360290017,0.45237682465933915,10.126076742364917,0.7762067284251585,9.264367816091953,2.196660482374768,0.0038463674650299757,0.4479553903345725,0.09817792068595928,0,0.34412815089629345,-0.3918918918918919,-0.09946409431939979,-0.8974854932301741,0.0077170418006430866,22.211125814231746,0.0304340278483187,0.028441530979065342,-46.44398092967819,-918000000.0,-2751000000.0,-18483000000.0,1.8191578360290017,2657000000.0,1429500000.0,129000000.0,51.49196141479099,45.402615278733656,4.088093599449415,1.7478456350693143,1.9822646657571623,22.015151515151516,0.07501394311210262,-1.1060786650774732
WM,2021-06-30,2021,Q2,10.616698292220114,0.8325426944971537,2.4739089184060723,1.534629981024668,0.3510436432637571,17.438330170777988,-6.152751423149905,17.438330170777988,31.646110056925995,59070376000.00001,72166376000.0,42.07291737891738,13.197134941912424,56.63506807286673,91.29888098918084,8.034599564744289,8.034599564744289,16.122961572832885,56.46821283255086,69.19115627996165,111.53999381761979,0.005942064766948495,0.010953036764147226,1.8014145810663764,0.4561077246271998,10.247261345852895,0.8759163725224002,8.071428571428571,2.9715099715099713,0.004096808186898962,0.6894586894586895,0.09785522788203753,0,0.34259737576195887,-0.3796740172579099,-0.08847184986595175,-0.792,0.004915102770330653,18.073695630058246,0.029562140323619302,0.018387553041018388,-46.22450189753321,-457000000.0,-2594000000.0,-18457000000.0,1.8014145810663764,2536000000.0,1302500000.0,125000000.0,53.183646112600535,45.82236842105263,4.144736842105263,1.6922495274102078,1.9641062455132807,21.714285714285715,0.04774211099020675,-0.9392789373814042
WM,2021-03-31,2021,Q1,9.72333885079215,0.9955072121068811,2.6483802317332703,2.009931425869,1.1255615984866398,17.56207141168125,-6.008512650744857,17.56207141168125,32.12343343580043,54562558000.00001,67574558000.00001,32.400568883610454,13.269104571984437,48.716569642857145,64.19124470588237,7.346513800996365,7.346513800996365,16.433501459143972,59.694839222614846,60.33442678571429,79.49948,0.007715913905649364,0.01557844850309254,1.81607647771644,0.46398348813209495,11.49469964664311,1.012785388127854,6.701030927835052,2.660332541567696,0.00452691385913395,0.5866983372921615,0.10894941634241245,0,0.34296525627794977,-0.24107142857142858,-0.06566147859922179,-0.5720338983050848,0.005593385214007782,19.833590115557925,0.024007176272680814,0.022041884816753926,-45.59647670844171,42000000.0,-2541000000.0,-18314000000.0,1.81607647771644,2525500000.0,1166500000.0,124000000.0,53.12013618677043,43.389021479713605,4.4391408114558475,1.6942727647301195,2.0742574257425743,20.274193548387096,0.05668506799515282,-0.6384488058642706
WM,2020-12-31,2020,Q4,9.616930716481438,1.035705840624261,1.7805627807992432,0.8489004492787893,1.3076377394183023,17.621187041853865,-6.062899030503665,17.621187041853865,32.884842752423744,49872597000.0,63129597000.0,28.466094178082194,12.262748217359233,66.23186852589642,138.92088300835655,6.692511674718197,6.692511674718197,15.522399065650356,60.238165076335875,83.83744621513944,175.84845961002785,0.00878237802615332,0.007198341806824297,1.8531937734836286,0.47060828079741013,12.649809160305344,0.9963411201801294,6.742268041237113,1.7191780821917808,0.0046318021096836,0.5273972602739726,0.1219572166215884,0,0.34138694837280625,-0.5232403718459495,-0.09687730513892304,-0.9036697247706422,0.004917629702483403,20.264087509793363,0.024629773538358466,0.02266259636777565,-45.65618349491606,-13000000.0,-2564000000.0,-18351000000.0,1.8531937734836286,2420500000.0,1002500000.0,120500000.0,58.06737152692402,40.356,4.464,1.5499237804878048,2.230151650312221,20.161290322580644,0.05877616747181964,-0.931662331520454
WM,2020-09-30,2020,Q3,9.134137686302342,0.9226401703335699,2.434350603264727,1.6229004021764846,1.663118050626922,16.926898509581264,0.4802460373787556,16.926898509581264,24.88526141471493,47836959000.0,57555959000.0,30.664717307692307,12.38978477078477,46.48878425655977,69.73317638483965,6.6858083857442345,6.6858083857442345,14.907008288008289,52.41890619307832,55.93387657920311,83.90081486880466,0.008152692147508791,0.014340376444079567,1.4566037735849056,0.4207169384789278,8.851548269581057,1.1963649322879544,7.010309278350515,2.6384615384615384,0.00480799793314621,0.5897435897435898,0.10670810670810671,0,0.2807201679315356,-0.3333333333333333,-0.08883708883708884,-0.8186157517899761,0.01320901320901321,18.745461365147296,0.029240114261369576,0.02188797844875968,-35.93742607049917,551000000.0,203000000.0,-14258000000.0,1.4566037735849056,2162000000.0,894000000.0,117500000.0,51.67832167832168,34.11663807890223,4.515437392795883,1.7415426251691475,2.6380090497737556,19.931623931623932,0.05450733752620545,-0.8114502010882423
