symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
WRK,2023-09-30,2023,Q4,19.454536860826742,0.4282322575916716,2.2788352286959355,1.0159790810804232,1.5343039174550421,39.31585536524922,12.76428536107489,39.31585536524922,33.884169890313686,9179224428.599998,17369724428.6,20.899873471311476,1.840187728759873,15.70977995652918,35.2369459831094,0.9105741097939626,0.9105741097939626,3.4821627899041734,25.763459549985164,29.727407887386615,66.67840471631477,0.011961794904795297,0.028379303940793948,0.8515182477407323,0.31278216858513974,12.148472263423317,1.421535146562589,-0.4274735830931796,5.278229448961156,0.007680387438871297,0.6420765027322405,0.11605388717373,0,0.24868731257082682,-0.5541673797706658,-0.06491319514053165,-0.8690284487385936,0.0017240688023736016,19.46322542128326,-0.002884482116843264,0.005325237162201486,-53.98895286359008,2073700000.0,3272800000.0,-10352900000.0,0.8515182477407323,2667250000.0,2143450000.0,2440250000.0,46.76456437191772,46.506496034256244,51.052260230645715,1.924534125544967,1.9352135222938933,1.7628994209736222,0.010892100746971936,-1.2628561476155125
WRK,2023-06-30,2023,Q3,19.994125098162463,0.7886612778170349,2.707997338088591,1.7139717869390017,1.2290622289940722,39.07309077295704,12.066127124225478,39.07309077295704,35.66583979696235,7445705989.59,16157905989.59,9.214982660383663,1.4539270839448557,10.734870227205883,16.96060589883827,0.7439902865355024,0.7439902865355024,3.155163146509539,19.955422983314808,23.295712211058248,36.80616398539863,0.027129730919058646,0.05896015778943934,0.9019964427746358,0.32068748690002097,10.759787575645301,1.4884985111017848,3.3182238667900092,3.41506646971935,0.009468544701948686,0.349009900990099,0.10677393528734061,0,0.24665262230495685,-0.3670703575547866,-0.04971588135361543,-0.6621586475942783,0.006346292788658687,26.33148796001432,0.01415423151156468,0.009525650880179573,-56.49137786102154,2444300000.0,3090500000.0,-10667400000.0,0.9019964427746358,2778750000.0,2169900000.0,2549650000.0,48.19941028294702,47.485120499560935,55.95911796272807,1.867242762342303,1.8953305594082293,1.6083169870537466,0.02018425628010152,-0.9940255511495896
WRK,2023-03-31,2023,Q2,20.72477144210689,-7.872711419420927,1.115641118444476,0.010210020795338394,1.427046752702297,37.868967129910104,10.4334631735133,37.868967129910104,37.75351535630128,7759239828.009999,16901439828.009998,-0.9675827798296588,1.4702212801292254,27.3116502217881,2984.3230107730765,0.8046166111547793,0.8046166111547793,3.2024859458863872,23.747983459336798,59.49116447733192,6500.5537800038455,-0.25837582603941345,0.00033508437135997357,0.9857104340792666,0.3369537475540935,12.845581003231699,1.5296024157020633,2.9142066420664205,-0.1417098962490024,0.009060165887156208,-0.0350658419792498,0.0,0,0.2485643592433996,-0.9908482928546286,-0.05333863877520085,0.0,0.002557980900409277,81.90212222048753,0.015588742155173207,-0.09457362146964615,-58.085888210725784,2630800000.0,2656900000.0,-10943100000.0,0.9857104340792666,2740200000.0,2223700000.0,2560600000.0,48.00306957708049,44.9617882633741,52.67642806325017,1.874880102312693,2.001699742741639,1.7085440928518214,-0.20789348155214965,-1.1054310976491377
WRK,2022-12-31,2023,Q1,19.336606441476828,0.1779261586802828,1.044383346425766,-0.06402199528672427,1.6307934014139827,45.30439905734485,10.331500392772977,45.30439905734485,37.54948939512961,8951736000.0,17999336000.0,49.40251655629138,1.8183128516585079,33.665799172621284,-549.1862576687116,0.7760835753608739,0.7760835753608739,3.6560979870406856,32.32058897468127,67.69212485896954,-1104.2537423312883,0.005060470952226474,-0.0018208758613971637,0.8203910009103126,0.31187441705639435,16.246363799604957,1.512390263367917,1.7286742034943474,5.681623931623932,0.007819712288208679,1.5452538631346577,0.0,0,0.29427487583095213,-1.0613012410680707,-0.05732160630497045,-0.7561629153269025,0.0019499908594178465,13.467325204019538,0.006803882303664605,0.00211554717016378,-59.24086802827966,2568100000.0,2630400000.0,-11202400000.0,0.8203910009103126,2674700000.0,2261350000.0,2444000000.0,48.72844346042128,49.148368166622575,55.64852449553862,1.8469705496154567,1.8311899938342289,1.6172935547862617,0.003927348389613767,-1.1084053417124902
WRK,2022-09-30,2022,Q4,21.23624213836478,1.3541666666666667,2.123820754716981,0.9716981132075472,1.0227987421383649,44.819182389937104,10.257075471698114,44.819182389937104,30.92885220125786,7858416000.0,15385416000.0,5.70276923076923,1.454588801480796,14.544541921154915,31.78970873786408,0.6892138221364673,0.6892138221364673,2.8478326700601575,16.953626446280992,28.475691282620765,62.23873786407767,0.04383835113844826,0.03145672104912746,0.6829679003683564,0.2741440918132052,8.294214876033058,1.5336168904376346,5.6522811344019726,1.5665410263844592,0.008093234056328908,0.18461538461538463,0.1771772327626099,0,0.31035538892115966,-0.5424764019988895,-0.05425266080518278,-0.7896012931034483,0.0035168903285515965,36.953815275873694,0.01955178454230766,0.01758577211493795,-53.25717374213836,2082600000.0,2609400000.0,-10994900000.0,0.6829679003683564,2754400000.0,2255900000.0,2308800000.0,44.71096714484035,46.68639871012323,48.03385926523091,2.012928946682067,1.9277563163269837,1.8736783047775236,0.030213997544290477,-1.1521226415094339
WRK,2022-06-30,2022,Q3,21.705465985057018,1.4860401101061738,3.292961069602831,2.4459300039323635,1.2009437672040897,45.05662603224538,9.914667715296893,45.05662603224538,31.857648446716478,10131312000.0,17848812000.0,6.702376290023817,1.8354823631719115,12.098533556245524,16.288282958199357,0.8842206687089257,0.8842206687089257,3.2336561769661394,17.943914748165277,21.314559350370192,28.69583922829582,0.03730020356692203,0.061393825399908716,0.7002068441861073,0.2777464281634165,7.758620689655173,1.4605000729678455,6.894267515923567,2.204844655081622,0.006297308778961698,0.16882773220428685,0.09136366106853633,0,0.31019154806703664,-0.2572247432529257,-0.03902385999239089,-0.1927689278682656,0.00626845661901915,38.813772735645514,0.020587901934212147,0.01896555185289276,-54.38448682658277,1893300000.0,2521300000.0,-11399600000.0,0.7002068441861073,2833400000.0,2239350000.0,2267000000.0,46.060655470406,46.6419741760888,47.48411806527074,1.953945272399023,1.9295924237730673,1.8953705716148663,0.032981610940922855,-0.8470310656704679
WRK,2022-03-31,2022,Q2,20.756266872348633,0.15387581951407636,1.5036637099884305,0.8056305437716931,1.3891245661396066,44.6525260316236,9.596606247589664,44.6525260316236,32.57423833397609,12194879000.0,20208679000.0,76.40901629072681,2.265821705282325,31.27694024108746,58.37663475347056,1.0532438851654806,1.0532438851654806,3.7547944111034726,23.424920598122174,51.83041549115158,96.7385303973193,0.003271865182098158,0.017130141266674316,0.7232432805914462,0.28672583340181335,9.289208299524748,1.530216268725395,6.746206896551724,9.579852579852579,0.005395707493284682,1.6491228070175439,0.0,0,0.31202577587859864,-0.4642215952808412,-0.03362999572657513,-0.48447537473233404,0.0045521264933761916,12.433673665534995,0.0234751296320537,0.0019857958362987553,-53.975800231392206,2074100000.0,2488400000.0,-11618400000.0,0.7232432805914462,2683700000.0,2177100000.0,2237400000.0,47.52252838111518,45.61255253060479,45.91060661428833,1.8938386290861748,1.973141054529067,1.9603313185583164,0.0034460719961307263,-0.6980331662167374
WRK,2021-12-31,2022,Q1,18.715797430083143,0.6889644746787604,0.9554043839758125,0.30120937263794406,1.100907029478458,44.20710506424792,9.552532123960695,44.20710506424792,31.44331065759637,11737656000.0,19679556000.0,16.09662095447065,2.3701902184887524,46.43060126582279,147.27297365119196,1.0034586054782342,1.0034586054782342,3.9739017002544323,28.771280701754385,77.84634493670886,246.92040150564617,0.015531209979232652,0.006790112097338685,0.7038607530007182,0.28309808303962863,11.610964912280702,1.56599634369287,3.121107266435986,1.3754080522306855,0.005648487227773586,0.3636862314865606,0.09145430313799928,0,0.31607323992091463,-0.6847310126582279,-0.03495416178668067,-0.4723055934515689,0.0035741690561770525,26.17795466890629,0.010294960124599944,0.009165271514255693,-53.12405517762661,2012400000.0,2527600000.0,-11794800000.0,0.7038607530007182,2556200000.0,2129450000.0,2207300000.0,45.89778280360244,46.24314178457984,48.541004909038406,1.9608790338546822,1.9462345447733234,1.854102529781823,0.015584926307150429,-0.6541950113378685
WRK,2021-09-30,2021,Q4,19.20943396226415,1.221509433962264,2.556603773584906,1.3864150943396227,1.0977358490566038,44.038867924528304,9.108301886792454,44.038867924528304,31.270188679245283,13204950000.0,21108150000.0,10.19844763670065,2.594037913760927,19.490701107011066,35.941616766467064,1.1315004755661806,1.1315004755661806,4.146576957076908,23.77043918918919,31.155940959409595,57.45277626565052,0.024513534697215816,0.02782289974592861,0.7021327643676684,0.2800989939940453,8.9,1.553085809939354,5.068108108108108,2.0871842267406038,0.004846667348229263,0.1977139326536917,0.0849032511541106,0,0.3171499574421538,-0.4577121771217712,-0.06091739514782438,-0.2123972602739726,0.007366663392594047,34.79026565281822,0.018693417800211054,0.016204201979345523,-53.75424528301887,2015500000.0,2413700000.0,-11903000000.0,0.7021327643676684,2552500000.0,2014900000.0,2159450000.0,45.7363716727237,46.70209646679372,47.79284562380882,1.9677992964552167,1.927108348636813,1.8831270418257948,0.02773707616770777,-1.170188679245283
WRK,2021-06-30,2021,Q3,18.072420262664163,0.9384615384615385,2.8172607879924954,2.057786116322702,2.0630393996247656,42.968480300187615,7.776735459662289,42.968480300187615,32.927204502814256,14183130000.0,22305930000.0,14.177459016393442,2.9448186367128293,18.890689930740542,25.86274617067834,1.2385823196024837,1.2385823196024837,4.631341486203102,27.61318395642486,29.70954981353223,40.674562363238515,0.01763362529991617,0.03866565419621762,0.757359554977251,0.29484498930784897,10.055459272097053,1.4889958376690946,3.729756097560976,2.9912350597609563,0.004512403115532326,0.25589764094362255,0.0936195834977057,0,0.31959842388514353,-0.26957911561001596,-0.04202396030147624,-0.5912941863862109,0.00967547702593277,30.121354349979658,0.014520014054122756,0.012496627259735977,-54.1453095684803,1879700000.0,2072500000.0,-12217200000.0,0.757359554977251,2467150000.0,1851450000.0,2118250000.0,47.054585470174196,44.14085014409222,49.68711403869905,1.912672252889083,2.0389276533235403,1.8113348247576435,0.02184069652697121,-0.7594746716697937
